,Province/State,Country/Region,Lat,Long,date,cases
0,Anhui,China,31.8257,117.2264,2020-01-22,1
1,Beijing,China,40.1824,116.4142,2020-01-22,14
2,Chongqing,China,30.0572,107.874,2020-01-22,6
3,Fujian,China,26.0789,117.9874,2020-01-22,1
4,Gansu,China,35.7518,104.2861,2020-01-22,0
5,Guangdong,China,23.3417,113.4244,2020-01-22,26
6,Guangxi,China,23.8298,108.7881,2020-01-22,2
7,Guizhou,China,26.8154,106.8748,2020-01-22,1
8,Hainan,China,19.1959,109.7453,2020-01-22,4
9,Hebei,China,39.549,116.1306,2020-01-22,1
10,Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0
11,Henan,China,37.8957,114.9042,2020-01-22,5
12,Hong Kong,China,22.3,114.2,2020-01-22,0
13,Hubei,China,30.9756,112.2707,2020-01-22,444
14,Hunan,China,27.6104,111.7088,2020-01-22,4
15,Inner Mongolia,China,44.0935,113.9448,2020-01-22,0
16,Jiangsu,China,32.9711,119.455,2020-01-22,1
17,Jiangxi,China,27.614,115.7221,2020-01-22,2
18,Jilin,China,43.6661,126.1923,2020-01-22,0
19,Liaoning,China,41.2956,122.6085,2020-01-22,2
20,Macau,China,22.1667,113.55,2020-01-22,1
21,Ningxia,China,37.2692,106.1655,2020-01-22,1
22,Qinghai,China,35.7452,95.9956,2020-01-22,0
23,Shaanxi,China,35.1917,108.8701,2020-01-22,0
24,Shandong,China,36.3427,118.1498,2020-01-22,2
25,Shanghai,China,31.201999999999998,121.4491,2020-01-22,9
26,Shanxi,China,37.5777,112.2922,2020-01-22,1
27,Sichuan,China,30.6171,102.7103,2020-01-22,5
28,Tianjin,China,39.3054,117.323,2020-01-22,4
29,Tibet,China,31.6927,88.0924,2020-01-22,0
30,Xinjiang,China,41.1129,85.2401,2020-01-22,0
31,Yunnan,China,24.974,101.48700000000001,2020-01-22,1
32,Zhejiang,China,29.1832,120.0934,2020-01-22,10
33,Anhui,China,31.8257,117.2264,2020-01-23,9
34,Beijing,China,40.1824,116.4142,2020-01-23,22
35,Chongqing,China,30.0572,107.874,2020-01-23,9
36,Fujian,China,26.0789,117.9874,2020-01-23,5
37,Gansu,China,35.7518,104.2861,2020-01-23,2
38,Guangdong,China,23.3417,113.4244,2020-01-23,32
39,Guangxi,China,23.8298,108.7881,2020-01-23,5
40,Guizhou,China,26.8154,106.8748,2020-01-23,3
41,Hainan,China,19.1959,109.7453,2020-01-23,5
42,Hebei,China,39.549,116.1306,2020-01-23,1
43,Heilongjiang,China,47.861999999999995,127.7615,2020-01-23,2
44,Henan,China,37.8957,114.9042,2020-01-23,5
45,Hong Kong,China,22.3,114.2,2020-01-23,2
46,Hubei,China,30.9756,112.2707,2020-01-23,444
47,Hunan,China,27.6104,111.7088,2020-01-23,9
48,Inner Mongolia,China,44.0935,113.9448,2020-01-23,0
49,Jiangsu,China,32.9711,119.455,2020-01-23,5
50,Jiangxi,China,27.614,115.7221,2020-01-23,7
51,Jilin,China,43.6661,126.1923,2020-01-23,1
52,Liaoning,China,41.2956,122.6085,2020-01-23,3
53,Macau,China,22.1667,113.55,2020-01-23,2
54,Ningxia,China,37.2692,106.1655,2020-01-23,1
55,Qinghai,China,35.7452,95.9956,2020-01-23,0
56,Shaanxi,China,35.1917,108.8701,2020-01-23,3
57,Shandong,China,36.3427,118.1498,2020-01-23,6
58,Shanghai,China,31.201999999999998,121.4491,2020-01-23,16
59,Shanxi,China,37.5777,112.2922,2020-01-23,1
60,Sichuan,China,30.6171,102.7103,2020-01-23,8
61,Tianjin,China,39.3054,117.323,2020-01-23,4
62,Tibet,China,31.6927,88.0924,2020-01-23,0
63,Xinjiang,China,41.1129,85.2401,2020-01-23,2
64,Yunnan,China,24.974,101.48700000000001,2020-01-23,2
65,Zhejiang,China,29.1832,120.0934,2020-01-23,27
66,Anhui,China,31.8257,117.2264,2020-01-24,15
67,Beijing,China,40.1824,116.4142,2020-01-24,36
68,Chongqing,China,30.0572,107.874,2020-01-24,27
69,Fujian,China,26.0789,117.9874,2020-01-24,10
70,Gansu,China,35.7518,104.2861,2020-01-24,2
71,Guangdong,China,23.3417,113.4244,2020-01-24,53
72,Guangxi,China,23.8298,108.7881,2020-01-24,23
73,Guizhou,China,26.8154,106.8748,2020-01-24,3
74,Hainan,China,19.1959,109.7453,2020-01-24,8
75,Hebei,China,39.549,116.1306,2020-01-24,2
76,Heilongjiang,China,47.861999999999995,127.7615,2020-01-24,4
77,Henan,China,37.8957,114.9042,2020-01-24,9
78,Hong Kong,China,22.3,114.2,2020-01-24,2
79,Hubei,China,30.9756,112.2707,2020-01-24,549
80,Hunan,China,27.6104,111.7088,2020-01-24,24
81,Inner Mongolia,China,44.0935,113.9448,2020-01-24,1
82,Jiangsu,China,32.9711,119.455,2020-01-24,9
83,Jiangxi,China,27.614,115.7221,2020-01-24,18
84,Jilin,China,43.6661,126.1923,2020-01-24,3
85,Liaoning,China,41.2956,122.6085,2020-01-24,4
86,Macau,China,22.1667,113.55,2020-01-24,2
87,Ningxia,China,37.2692,106.1655,2020-01-24,2
88,Qinghai,China,35.7452,95.9956,2020-01-24,0
89,Shaanxi,China,35.1917,108.8701,2020-01-24,5
90,Shandong,China,36.3427,118.1498,2020-01-24,15
91,Shanghai,China,31.201999999999998,121.4491,2020-01-24,20
92,Shanxi,China,37.5777,112.2922,2020-01-24,1
93,Sichuan,China,30.6171,102.7103,2020-01-24,15
94,Tianjin,China,39.3054,117.323,2020-01-24,8
95,Tibet,China,31.6927,88.0924,2020-01-24,0
96,Xinjiang,China,41.1129,85.2401,2020-01-24,2
97,Yunnan,China,24.974,101.48700000000001,2020-01-24,5
98,Zhejiang,China,29.1832,120.0934,2020-01-24,43
99,Anhui,China,31.8257,117.2264,2020-01-25,39
100,Beijing,China,40.1824,116.4142,2020-01-25,41
101,Chongqing,China,30.0572,107.874,2020-01-25,57
102,Fujian,China,26.0789,117.9874,2020-01-25,18
103,Gansu,China,35.7518,104.2861,2020-01-25,4
104,Guangdong,China,23.3417,113.4244,2020-01-25,78
105,Guangxi,China,23.8298,108.7881,2020-01-25,23
106,Guizhou,China,26.8154,106.8748,2020-01-25,4
107,Hainan,China,19.1959,109.7453,2020-01-25,19
108,Hebei,China,39.549,116.1306,2020-01-25,8
109,Heilongjiang,China,47.861999999999995,127.7615,2020-01-25,9
110,Henan,China,37.8957,114.9042,2020-01-25,32
111,Hong Kong,China,22.3,114.2,2020-01-25,5
112,Hubei,China,30.9756,112.2707,2020-01-25,761
113,Hunan,China,27.6104,111.7088,2020-01-25,43
114,Inner Mongolia,China,44.0935,113.9448,2020-01-25,7
115,Jiangsu,China,32.9711,119.455,2020-01-25,18
116,Jiangxi,China,27.614,115.7221,2020-01-25,18
117,Jilin,China,43.6661,126.1923,2020-01-25,4
118,Liaoning,China,41.2956,122.6085,2020-01-25,17
119,Macau,China,22.1667,113.55,2020-01-25,2
120,Ningxia,China,37.2692,106.1655,2020-01-25,3
121,Qinghai,China,35.7452,95.9956,2020-01-25,1
122,Shaanxi,China,35.1917,108.8701,2020-01-25,15
123,Shandong,China,36.3427,118.1498,2020-01-25,27
124,Shanghai,China,31.201999999999998,121.4491,2020-01-25,33
125,Shanxi,China,37.5777,112.2922,2020-01-25,6
126,Sichuan,China,30.6171,102.7103,2020-01-25,28
127,Tianjin,China,39.3054,117.323,2020-01-25,10
128,Tibet,China,31.6927,88.0924,2020-01-25,0
129,Xinjiang,China,41.1129,85.2401,2020-01-25,3
130,Yunnan,China,24.974,101.48700000000001,2020-01-25,11
131,Zhejiang,China,29.1832,120.0934,2020-01-25,62
132,Anhui,China,31.8257,117.2264,2020-01-26,60
133,Beijing,China,40.1824,116.4142,2020-01-26,68
134,Chongqing,China,30.0572,107.874,2020-01-26,75
135,Fujian,China,26.0789,117.9874,2020-01-26,35
136,Gansu,China,35.7518,104.2861,2020-01-26,7
137,Guangdong,China,23.3417,113.4244,2020-01-26,111
138,Guangxi,China,23.8298,108.7881,2020-01-26,36
139,Guizhou,China,26.8154,106.8748,2020-01-26,5
140,Hainan,China,19.1959,109.7453,2020-01-26,22
141,Hebei,China,39.549,116.1306,2020-01-26,13
142,Heilongjiang,China,47.861999999999995,127.7615,2020-01-26,15
143,Henan,China,37.8957,114.9042,2020-01-26,83
144,Hong Kong,China,22.3,114.2,2020-01-26,8
145,Hubei,China,30.9756,112.2707,2020-01-26,1058
146,Hunan,China,27.6104,111.7088,2020-01-26,69
147,Inner Mongolia,China,44.0935,113.9448,2020-01-26,7
148,Jiangsu,China,32.9711,119.455,2020-01-26,33
149,Jiangxi,China,27.614,115.7221,2020-01-26,36
150,Jilin,China,43.6661,126.1923,2020-01-26,4
151,Liaoning,China,41.2956,122.6085,2020-01-26,21
152,Macau,China,22.1667,113.55,2020-01-26,5
153,Ningxia,China,37.2692,106.1655,2020-01-26,4
154,Qinghai,China,35.7452,95.9956,2020-01-26,1
155,Shaanxi,China,35.1917,108.8701,2020-01-26,22
156,Shandong,China,36.3427,118.1498,2020-01-26,46
157,Shanghai,China,31.201999999999998,121.4491,2020-01-26,40
158,Shanxi,China,37.5777,112.2922,2020-01-26,9
159,Sichuan,China,30.6171,102.7103,2020-01-26,44
160,Tianjin,China,39.3054,117.323,2020-01-26,14
161,Tibet,China,31.6927,88.0924,2020-01-26,0
162,Xinjiang,China,41.1129,85.2401,2020-01-26,4
163,Yunnan,China,24.974,101.48700000000001,2020-01-26,16
164,Zhejiang,China,29.1832,120.0934,2020-01-26,104
165,Anhui,China,31.8257,117.2264,2020-01-27,70
166,Beijing,China,40.1824,116.4142,2020-01-27,80
167,Chongqing,China,30.0572,107.874,2020-01-27,110
168,Fujian,China,26.0789,117.9874,2020-01-27,59
169,Gansu,China,35.7518,104.2861,2020-01-27,14
170,Guangdong,China,23.3417,113.4244,2020-01-27,151
171,Guangxi,China,23.8298,108.7881,2020-01-27,46
172,Guizhou,China,26.8154,106.8748,2020-01-27,7
173,Hainan,China,19.1959,109.7453,2020-01-27,33
174,Hebei,China,39.549,116.1306,2020-01-27,18
175,Heilongjiang,China,47.861999999999995,127.7615,2020-01-27,21
176,Henan,China,37.8957,114.9042,2020-01-27,128
177,Hong Kong,China,22.3,114.2,2020-01-27,8
178,Hubei,China,30.9756,112.2707,2020-01-27,1423
