,date,week,mental_health_condition,age,gender,happiness_rating
3002,2020-04-24,week 4,No,31,Female,5
3003,2020-04-24,week 4,No,23,Female,8
3004,2020-04-24,week 4,No,27,Male,5
3005,2020-04-24,week 4,No,19,Female,4
3006,2020-04-24,week 4,No,23,Female,4
3007,2020-04-24,week 4,No,45,Male,5
3008,2020-04-24,week 4,No,28,Male,4
3009,2020-04-24,week 4,No,33,Male,8
3010,2020-04-24,week 4,No,19,Male,3
3011,2020-04-24,week 4,No,35,Female,6
3012,2020-04-24,week 4,No,19,Male,1
3013,2020-04-24,week 4,No,28,Male,5
3014,2020-04-24,week 4,No,24,Female,8
3015,2020-04-24,week 4,No,27,Female,3
3016,2020-04-24,week 4,No,45,Male,8
3017,2020-04-24,week 4,No,21,Male,5
3018,2020-04-24,week 4,No,20,Female,6
3019,2020-04-24,week 4,No,44,Female,7
3020,2020-04-24,week 4,No,43,Female,0
3021,2020-04-24,week 4,No,29,Female,4
3022,2020-04-24,week 4,No,20,Male,3
3023,2020-04-24,week 4,No,36,Female,5
3024,2020-04-24,week 4,No,45,Male,6
3025,2020-04-24,week 4,No,34,Female,4
3026,2020-04-24,week 4,No,35,Male,8
3027,2020-04-24,week 4,No,36,Male,7
3028,2020-04-24,week 4,No,31,Female,9
3029,2020-04-24,week 4,No,38,Female,7
3030,2020-04-24,week 4,No,36,Female,1
3031,2020-04-24,week 4,Yes,33,Male,5
3032,2020-04-24,week 4,No,39,Male,8
3033,2020-04-24,week 4,No,43,Male,4
3034,2020-04-24,week 4,No,36,Female,8
3035,2020-04-24,week 4,No,54,Male,8
3036,2020-04-24,week 4,No,39,Male,5
3037,2020-04-24,week 4,No,29,Male,1
3038,2020-04-24,week 4,No,35,Male,1
3039,2020-04-24,week 4,No,23,Male,6
3040,2020-04-24,week 4,No,49,Male,5
3041,2020-04-24,week 4,No,33,Male,5
3042,2020-04-24,week 4,No,54,Male,7
3043,2020-04-24,week 4,No,43,Male,8
3044,2020-04-24,week 4,No,44,Male,0
3045,2020-04-24,week 4,No,42,Male,5
3046,2020-04-24,week 4,No,43,Male,6
3047,2020-04-24,week 4,No,26,Male,8
3048,2020-04-24,week 4,No,50,Female,9
3049,2020-04-24,week 4,No,23,Male,1
3050,2020-04-24,week 4,No,55,Male,7
3051,2020-04-24,week 4,No,42,Female,9
3052,2020-04-24,week 4,No,30,Female,7
3053,2020-04-24,week 4,No,30,Female,0
3054,2020-04-24,week 4,No,39,Male,2
3055,2020-04-24,week 4,No,32,Male,3
3056,2020-04-24,week 4,No,24,Female,2
3057,2020-04-24,week 4,No,37,Male,0
3058,2020-04-24,week 4,No,40,Female,8
3059,2020-04-24,week 4,No,19,Female,7
3060,2020-04-24,week 4,No,28,Male,0
3061,2020-04-24,week 4,No,37,Female,6
3062,2020-04-24,week 4,No,25,Female,7
3063,2020-04-24,week 4,No,32,Male,8
3064,2020-04-24,week 4,No,41,Male,6
3065,2020-04-24,week 4,No,38,Male,5
3066,2020-04-24,week 4,No,37,Female,4
3067,2020-04-24,week 4,No,38,Female,5
3068,2020-04-24,week 4,No,41,Female,8
3069,2020-04-24,week 4,No,35,Female,2
3070,2020-04-24,week 4,No,41,Male,2
3071,2020-04-24,week 4,No,35,Male,6
3072,2020-04-24,week 4,No,35,Male,6
3073,2020-04-24,week 4,No,48,Male,8
3074,2020-04-24,week 4,No,26,Female,5
3075,2020-04-24,week 4,No,34,Male,3
3076,2020-04-24,week 4,No,21,Female,5
3077,2020-04-24,week 4,No,24,Female,7
3078,2020-04-24,week 4,No,36,Female,5
3079,2020-04-24,week 4,No,26,Female,4
3080,2020-04-24,week 4,No,25,Male,3
3081,2020-04-24,week 4,No,25,Female,6
3082,2020-04-24,week 4,No,52,Female,7
3083,2020-04-24,week 4,No,46,Female,9
3084,2020-04-24,week 4,No,34,Male,5
3085,2020-04-24,week 4,No,31,Male,3
3086,2020-04-24,week 4,No,28,Female,6
3087,2020-04-24,week 4,No,35,Female,7
3088,2020-04-24,week 4,No,30,Male,1
3089,2020-04-24,week 4,No,43,Male,4
3090,2020-04-24,week 4,No,50,Male,2
3091,2020-04-24,week 4,No,28,Male,6
3092,2020-04-24,week 4,No,49,Female,8
3093,2020-04-24,week 4,No,46,Male,6
3094,2020-04-24,week 4,No,18,Male,1
3095,2020-04-24,week 4,No,25,Male,5
3096,2020-04-24,week 4,No,29,Female,5
3097,2020-04-24,week 4,No,47,Male,2
3098,2020-04-24,week 4,No,20,Male,3
3099,2020-04-24,week 4,No,28,Female,5
3100,2020-04-24,week 4,No,36,Male,6
3101,2020-04-24,week 4,No,30,Male,5
3102,2020-04-24,week 4,No,21,Female,7
3103,2020-04-24,week 4,No,42,Male,2
3104,2020-04-24,week 4,No,25,Female,1
3105,2020-04-24,week 4,No,30,Male,0
3106,2020-04-24,week 4,No,32,Female,8
3107,2020-04-24,week 4,No,95,Male,7
3108,2020-04-24,week 4,No,34,Male,9
3109,2020-04-24,week 4,No,40,Male,6
3110,2020-04-24,week 4,No,27,Female,5
