,Province/State,Country/Region,Lat,Long,date,cases
0,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0
1,Greenland,Denmark,71.7069,-42.6043,2020-01-22,0
2,,Denmark,56.2639,9.5018,2020-01-22,0
3,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-23,0
4,Greenland,Denmark,71.7069,-42.6043,2020-01-23,0
5,,Denmark,56.2639,9.5018,2020-01-23,0
6,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-24,0
7,Greenland,Denmark,71.7069,-42.6043,2020-01-24,0
8,,Denmark,56.2639,9.5018,2020-01-24,0
9,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-25,0
10,Greenland,Denmark,71.7069,-42.6043,2020-01-25,0
11,,Denmark,56.2639,9.5018,2020-01-25,0
12,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-26,0
13,Greenland,Denmark,71.7069,-42.6043,2020-01-26,0
14,,Denmark,56.2639,9.5018,2020-01-26,0
15,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-27,0
16,Greenland,Denmark,71.7069,-42.6043,2020-01-27,0
17,,Denmark,56.2639,9.5018,2020-01-27,0
18,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-28,0
19,Greenland,Denmark,71.7069,-42.6043,2020-01-28,0
20,,Denmark,56.2639,9.5018,2020-01-28,0
21,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-29,0
22,Greenland,Denmark,71.7069,-42.6043,2020-01-29,0
23,,Denmark,56.2639,9.5018,2020-01-29,0
24,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-30,0
25,Greenland,Denmark,71.7069,-42.6043,2020-01-30,0
26,,Denmark,56.2639,9.5018,2020-01-30,0
27,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-31,0
28,Greenland,Denmark,71.7069,-42.6043,2020-01-31,0
29,,Denmark,56.2639,9.5018,2020-01-31,0
30,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-01,0
31,Greenland,Denmark,71.7069,-42.6043,2020-02-01,0
32,,Denmark,56.2639,9.5018,2020-02-01,0
33,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-02,0
34,Greenland,Denmark,71.7069,-42.6043,2020-02-02,0
35,,Denmark,56.2639,9.5018,2020-02-02,0
36,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-03,0
37,Greenland,Denmark,71.7069,-42.6043,2020-02-03,0
38,,Denmark,56.2639,9.5018,2020-02-03,0
39,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-04,0
40,Greenland,Denmark,71.7069,-42.6043,2020-02-04,0
41,,Denmark,56.2639,9.5018,2020-02-04,0
42,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-05,0
43,Greenland,Denmark,71.7069,-42.6043,2020-02-05,0
44,,Denmark,56.2639,9.5018,2020-02-05,0
45,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-06,0
46,Greenland,Denmark,71.7069,-42.6043,2020-02-06,0
47,,Denmark,56.2639,9.5018,2020-02-06,0
48,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-07,0
49,Greenland,Denmark,71.7069,-42.6043,2020-02-07,0
50,,Denmark,56.2639,9.5018,2020-02-07,0
51,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-08,0
52,Greenland,Denmark,71.7069,-42.6043,2020-02-08,0
53,,Denmark,56.2639,9.5018,2020-02-08,0
54,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-09,0
55,Greenland,Denmark,71.7069,-42.6043,2020-02-09,0
56,,Denmark,56.2639,9.5018,2020-02-09,0
57,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-10,0
58,Greenland,Denmark,71.7069,-42.6043,2020-02-10,0
59,,Denmark,56.2639,9.5018,2020-02-10,0
60,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-11,0
61,Greenland,Denmark,71.7069,-42.6043,2020-02-11,0
62,,Denmark,56.2639,9.5018,2020-02-11,0
