,Province/State,Country/Region,Lat,Long,date,cases
0,,Finland,61.92411,25.748151,2020-01-22,0
1,,Finland,61.92411,25.748151,2020-01-23,0
2,,Finland,61.92411,25.748151,2020-01-24,0
3,,Finland,61.92411,25.748151,2020-01-25,0
4,,Finland,61.92411,25.748151,2020-01-26,0
5,,Finland,61.92411,25.748151,2020-01-27,0
6,,Finland,61.92411,25.748151,2020-01-28,0
7,,Finland,61.92411,25.748151,2020-01-29,1
8,,Finland,61.92411,25.748151,2020-01-30,1
9,,Finland,61.92411,25.748151,2020-01-31,1
10,,Finland,61.92411,25.748151,2020-02-01,1
11,,Finland,61.92411,25.748151,2020-02-02,1
12,,Finland,61.92411,25.748151,2020-02-03,1
13,,Finland,61.92411,25.748151,2020-02-04,1
14,,Finland,61.92411,25.748151,2020-02-05,1
15,,Finland,61.92411,25.748151,2020-02-06,1
16,,Finland,61.92411,25.748151,2020-02-07,1
17,,Finland,61.92411,25.748151,2020-02-08,1
18,,Finland,61.92411,25.748151,2020-02-09,1
19,,Finland,61.92411,25.748151,2020-02-10,1
20,,Finland,61.92411,25.748151,2020-02-11,1
21,,Finland,61.92411,25.748151,2020-02-12,1
22,,Finland,61.92411,25.748151,2020-02-13,1
23,,Finland,61.92411,25.748151,2020-02-14,1
24,,Finland,61.92411,25.748151,2020-02-15,1
25,,Finland,61.92411,25.748151,2020-02-16,1
26,,Finland,61.92411,25.748151,2020-02-17,1
27,,Finland,61.92411,25.748151,2020-02-18,1
28,,Finland,61.92411,25.748151,2020-02-19,1
29,,Finland,61.92411,25.748151,2020-02-20,1
30,,Finland,61.92411,25.748151,2020-02-21,1
31,,Finland,61.92411,25.748151,2020-02-22,1
32,,Finland,61.92411,25.748151,2020-02-23,1
33,,Finland,61.92411,25.748151,2020-02-24,1
34,,Finland,61.92411,25.748151,2020-02-25,1
35,,Finland,61.92411,25.748151,2020-02-26,2
36,,Finland,61.92411,25.748151,2020-02-27,2
37,,Finland,61.92411,25.748151,2020-02-28,2
38,,Finland,61.92411,25.748151,2020-02-29,3
39,,Finland,61.92411,25.748151,2020-03-01,6
40,,Finland,61.92411,25.748151,2020-03-02,6
41,,Finland,61.92411,25.748151,2020-03-03,6
42,,Finland,61.92411,25.748151,2020-03-04,6
43,,Finland,61.92411,25.748151,2020-03-05,12
44,,Finland,61.92411,25.748151,2020-03-06,15
45,,Finland,61.92411,25.748151,2020-03-07,15
46,,Finland,61.92411,25.748151,2020-03-08,23
47,,Finland,61.92411,25.748151,2020-03-09,30
48,,Finland,61.92411,25.748151,2020-03-10,40
49,,Finland,61.92411,25.748151,2020-03-11,59
50,,Finland,61.92411,25.748151,2020-03-12,59
51,,Finland,61.92411,25.748151,2020-03-13,155
52,,Finland,61.92411,25.748151,2020-03-14,225
53,,Finland,61.92411,25.748151,2020-03-15,244
54,,Finland,61.92411,25.748151,2020-03-16,277
55,,Finland,61.92411,25.748151,2020-03-17,321
56,,Finland,61.92411,25.748151,2020-03-18,336
57,,Finland,61.92411,25.748151,2020-03-19,400
58,,Finland,61.92411,25.748151,2020-03-20,450
59,,Finland,61.92411,25.748151,2020-03-21,523
60,,Finland,61.92411,25.748151,2020-03-22,626
61,,Finland,61.92411,25.748151,2020-03-23,700
62,,Finland,61.92411,25.748151,2020-03-24,792
63,,Finland,61.92411,25.748151,2020-03-25,880
64,,Finland,61.92411,25.748151,2020-03-26,958
65,,Finland,61.92411,25.748151,2020-03-27,1041
66,,Finland,61.92411,25.748151,2020-03-28,1167
67,,Finland,61.92411,25.748151,2020-03-29,1240
68,,Finland,61.92411,25.748151,2020-03-30,1352
69,,Finland,61.92411,25.748151,2020-03-31,1418
70,,Finland,61.92411,25.748151,2020-04-01,1446
71,,Finland,61.92411,25.748151,2020-04-02,1518
72,,Finland,61.92411,25.748151,2020-04-03,1615
73,,Finland,61.92411,25.748151,2020-04-04,1882
74,,Finland,61.92411,25.748151,2020-04-05,1927
75,,Finland,61.92411,25.748151,2020-04-06,2176
76,,Finland,61.92411,25.748151,2020-04-07,2308
77,,Finland,61.92411,25.748151,2020-04-08,2487
78,,Finland,61.92411,25.748151,2020-04-09,2605
79,,Finland,61.92411,25.748151,2020-04-10,2769
80,,Finland,61.92411,25.748151,2020-04-11,2905
81,,Finland,61.92411,25.748151,2020-04-12,2974
82,,Finland,61.92411,25.748151,2020-04-13,3064
83,,Finland,61.92411,25.748151,2020-04-14,3161
84,,Finland,61.92411,25.748151,2020-04-15,3237
85,,Finland,61.92411,25.748151,2020-04-16,3369
86,,Finland,61.92411,25.748151,2020-04-17,3489
87,,Finland,61.92411,25.748151,2020-04-18,3681
88,,Finland,61.92411,25.748151,2020-04-19,3783
89,,Finland,61.92411,25.748151,2020-04-20,3868
90,,Finland,61.92411,25.748151,2020-04-21,4014
91,,Finland,61.92411,25.748151,2020-04-22,4129
92,,Finland,61.92411,25.748151,2020-04-23,4284
93,,Finland,61.92411,25.748151,2020-04-24,4395
94,,Finland,61.92411,25.748151,2020-04-25,4475
95,,Finland,61.92411,25.748151,2020-04-26,4576
96,,Finland,61.92411,25.748151,2020-04-27,4695
97,,Finland,61.92411,25.748151,2020-04-28,4740
98,,Finland,61.92411,25.748151,2020-04-29,4906
99,,Finland,61.92411,25.748151,2020-04-30,4995
100,,Finland,61.92411,25.748151,2020-05-01,5051
101,,Finland,61.92411,25.748151,2020-05-02,5176
102,,Finland,61.92411,25.748151,2020-05-03,5254
103,,Finland,61.92411,25.748151,2020-05-04,5327
104,,Finland,61.92411,25.748151,2020-05-05,5412
105,,Finland,61.92411,25.748151,2020-05-06,5573
106,,Finland,61.92411,25.748151,2020-05-07,5673
107,,Finland,61.92411,25.748151,2020-05-08,5738
108,,Finland,61.92411,25.748151,2020-05-09,5880
109,,Finland,61.92411,25.748151,2020-05-10,5962
110,,Finland,61.92411,25.748151,2020-05-11,5984
111,,Finland,61.92411,25.748151,2020-05-12,6003
112,,Finland,61.92411,25.748151,2020-05-13,6054
113,,Finland,61.92411,25.748151,2020-05-14,6145
114,,Finland,61.92411,25.748151,2020-05-15,6228
115,,Finland,61.92411,25.748151,2020-05-16,6286
116,,Finland,61.92411,25.748151,2020-05-17,6347
117,,Finland,61.92411,25.748151,2020-05-18,6380
118,,Finland,61.92411,25.748151,2020-05-19,6399
119,,Finland,61.92411,25.748151,2020-05-20,6443
120,,Finland,61.92411,25.748151,2020-05-21,6493
121,,Finland,61.92411,25.748151,2020-05-22,6537
122,,Finland,61.92411,25.748151,2020-05-23,6568
123,,Finland,61.92411,25.748151,2020-05-24,6579
124,,Finland,61.92411,25.748151,2020-05-25,6599
125,,Finland,61.92411,25.748151,2020-05-26,6628
126,,Finland,61.92411,25.748151,2020-05-27,6692
127,,Finland,61.92411,25.748151,2020-05-28,6743
128,,Finland,61.92411,25.748151,2020-05-29,6776
129,,Finland,61.92411,25.748151,2020-05-30,6826
130,,Finland,61.92411,25.748151,2020-05-31,6859
131,,Finland,61.92411,25.748151,2020-06-01,6885
132,,Finland,61.92411,25.748151,2020-06-02,6887
133,,Finland,61.92411,25.748151,2020-06-03,6911
134,,Finland,61.92411,25.748151,2020-06-04,6911
135,,Finland,61.92411,25.748151,2020-06-05,6941
136,,Finland,61.92411,25.748151,2020-06-06,6964
137,,Finland,61.92411,25.748151,2020-06-07,6981
138,,Finland,61.92411,25.748151,2020-06-08,7001
139,,Finland,61.92411,25.748151,2020-06-09,7025
140,,Finland,61.92411,25.748151,2020-06-10,7040
141,,Finland,61.92411,25.748151,2020-06-11,7064
142,,Finland,61.92411,25.748151,2020-06-12,7073
143,,Finland,61.92411,25.748151,2020-06-13,7087
144,,Finland,61.92411,25.748151,2020-06-14,7104
145,,Finland,61.92411,25.748151,2020-06-15,7108
146,,Finland,61.92411,25.748151,2020-06-16,7112
147,,Finland,61.92411,25.748151,2020-06-17,7117
148,,Finland,61.92411,25.748151,2020-06-18,7119
149,,Finland,61.92411,25.748151,2020-06-19,7133
150,,Finland,61.92411,25.748151,2020-06-20,7142
151,,Finland,61.92411,25.748151,2020-06-21,7143
152,,Finland,61.92411,25.748151,2020-06-22,7144
153,,Finland,61.92411,25.748151,2020-06-23,7155
154,,Finland,61.92411,25.748151,2020-06-24,7167
155,,Finland,61.92411,25.748151,2020-06-25,7172
156,,Finland,61.92411,25.748151,2020-06-26,7191
157,,Finland,61.92411,25.748151,2020-06-27,7198
158,,Finland,61.92411,25.748151,2020-06-28,7198
159,,Finland,61.92411,25.748151,2020-06-29,7209
160,,Finland,61.92411,25.748151,2020-06-30,7214
161,,Finland,61.92411,25.748151,2020-07-01,7236
162,,Finland,61.92411,25.748151,2020-07-02,7241
163,,Finland,61.92411,25.748151,2020-07-03,7242
164,,Finland,61.92411,25.748151,2020-07-04,7248
165,,Finland,61.92411,25.748151,2020-07-05,7253
166,,Finland,61.92411,25.748151,2020-07-06,7257
167,,Finland,61.92411,25.748151,2020-07-07,7262
168,,Finland,61.92411,25.748151,2020-07-08,7265
169,,Finland,61.92411,25.748151,2020-07-09,7273
170,,Finland,61.92411,25.748151,2020-07-10,7279
171,,Finland,61.92411,25.748151,2020-07-11,7291
172,,Finland,61.92411,25.748151,2020-07-12,7294
173,,Finland,61.92411,25.748151,2020-07-13,7295
174,,Finland,61.92411,25.748151,2020-07-14,7301
175,,Finland,61.92411,25.748151,2020-07-15,7296
176,,Finland,61.92411,25.748151,2020-07-16,7293
177,,Finland,61.92411,25.748151,2020-07-17,7301
178,,Finland,61.92411,25.748151,2020-07-18,7318
179,,Finland,61.92411,25.748151,2020-07-19,7335
180,,Finland,61.92411,25.748151,2020-07-20,7340
181,,Finland,61.92411,25.748151,2020-07-21,7351
182,,Finland,61.92411,25.748151,2020-07-22,7362
183,,Finland,61.92411,25.748151,2020-07-23,7372
184,,Finland,61.92411,25.748151,2020-07-24,7380
185,,Finland,61.92411,25.748151,2020-07-25,7388
186,,Finland,61.92411,25.748151,2020-07-26,7393
187,,Finland,61.92411,25.748151,2020-07-27,7398
188,,Finland,61.92411,25.748151,2020-07-28,7404
189,,Finland,61.92411,25.748151,2020-07-29,7414
190,,Finland,61.92411,25.748151,2020-07-30,7423
191,,Finland,61.92411,25.748151,2020-07-31,7432
192,,Finland,61.92411,25.748151,2020-08-01,7443
193,,Finland,61.92411,25.748151,2020-08-02,7453
194,,Finland,61.92411,25.748151,2020-08-03,7466
195,,Finland,61.92411,25.748151,2020-08-04,7483
196,,Finland,61.92411,25.748151,2020-08-05,7512
197,,Finland,61.92411,25.748151,2020-08-06,7532
198,,Finland,61.92411,25.748151,2020-08-07,7554
199,,Finland,61.92411,25.748151,2020-08-08,7568
200,,Finland,61.92411,25.748151,2020-08-09,7584
201,,Finland,61.92411,25.748151,2020-08-10,7601
202,,Finland,61.92411,25.748151,2020-08-11,7623
203,,Finland,61.92411,25.748151,2020-08-12,7642
204,,Finland,61.92411,25.748151,2020-08-13,7683
205,,Finland,61.92411,25.748151,2020-08-14,7700
