,Province/State,Country/Region,Lat,Long,date,cases
0,,India,20.593684,78.96288,2020-01-22,0
1,,India,20.593684,78.96288,2020-01-23,0
2,,India,20.593684,78.96288,2020-01-24,0
3,,India,20.593684,78.96288,2020-01-25,0
4,,India,20.593684,78.96288,2020-01-26,0
5,,India,20.593684,78.96288,2020-01-27,0
6,,India,20.593684,78.96288,2020-01-28,0
7,,India,20.593684,78.96288,2020-01-29,0
8,,India,20.593684,78.96288,2020-01-30,1
9,,India,20.593684,78.96288,2020-01-31,1
10,,India,20.593684,78.96288,2020-02-01,1
11,,India,20.593684,78.96288,2020-02-02,2
12,,India,20.593684,78.96288,2020-02-03,3
13,,India,20.593684,78.96288,2020-02-04,3
14,,India,20.593684,78.96288,2020-02-05,3
15,,India,20.593684,78.96288,2020-02-06,3
16,,India,20.593684,78.96288,2020-02-07,3
17,,India,20.593684,78.96288,2020-02-08,3
18,,India,20.593684,78.96288,2020-02-09,3
19,,India,20.593684,78.96288,2020-02-10,3
20,,India,20.593684,78.96288,2020-02-11,3
21,,India,20.593684,78.96288,2020-02-12,3
22,,India,20.593684,78.96288,2020-02-13,3
23,,India,20.593684,78.96288,2020-02-14,3
24,,India,20.593684,78.96288,2020-02-15,3
25,,India,20.593684,78.96288,2020-02-16,3
26,,India,20.593684,78.96288,2020-02-17,3
27,,India,20.593684,78.96288,2020-02-18,3
28,,India,20.593684,78.96288,2020-02-19,3
29,,India,20.593684,78.96288,2020-02-20,3
30,,India,20.593684,78.96288,2020-02-21,3
31,,India,20.593684,78.96288,2020-02-22,3
32,,India,20.593684,78.96288,2020-02-23,3
33,,India,20.593684,78.96288,2020-02-24,3
34,,India,20.593684,78.96288,2020-02-25,3
35,,India,20.593684,78.96288,2020-02-26,3
36,,India,20.593684,78.96288,2020-02-27,3
37,,India,20.593684,78.96288,2020-02-28,3
38,,India,20.593684,78.96288,2020-02-29,3
39,,India,20.593684,78.96288,2020-03-01,3
40,,India,20.593684,78.96288,2020-03-02,5
41,,India,20.593684,78.96288,2020-03-03,5
42,,India,20.593684,78.96288,2020-03-04,28
43,,India,20.593684,78.96288,2020-03-05,30
44,,India,20.593684,78.96288,2020-03-06,31
45,,India,20.593684,78.96288,2020-03-07,34
46,,India,20.593684,78.96288,2020-03-08,39
47,,India,20.593684,78.96288,2020-03-09,43
48,,India,20.593684,78.96288,2020-03-10,56
49,,India,20.593684,78.96288,2020-03-11,62
50,,India,20.593684,78.96288,2020-03-12,73
51,,India,20.593684,78.96288,2020-03-13,82
