,Province/State,Country/Region,Lat,Long,date,cases
0,,Saudi Arabia,23.885942,45.079162,2020-01-22,0
1,,Saudi Arabia,23.885942,45.079162,2020-01-23,0
2,,Saudi Arabia,23.885942,45.079162,2020-01-24,0
3,,Saudi Arabia,23.885942,45.079162,2020-01-25,0
4,,Saudi Arabia,23.885942,45.079162,2020-01-26,0
5,,Saudi Arabia,23.885942,45.079162,2020-01-27,0
6,,Saudi Arabia,23.885942,45.079162,2020-01-28,0
7,,Saudi Arabia,23.885942,45.079162,2020-01-29,0
8,,Saudi Arabia,23.885942,45.079162,2020-01-30,0
9,,Saudi Arabia,23.885942,45.079162,2020-01-31,0
10,,Saudi Arabia,23.885942,45.079162,2020-02-01,0
11,,Saudi Arabia,23.885942,45.079162,2020-02-02,0
12,,Saudi Arabia,23.885942,45.079162,2020-02-03,0
13,,Saudi Arabia,23.885942,45.079162,2020-02-04,0
14,,Saudi Arabia,23.885942,45.079162,2020-02-05,0
15,,Saudi Arabia,23.885942,45.079162,2020-02-06,0
16,,Saudi Arabia,23.885942,45.079162,2020-02-07,0
17,,Saudi Arabia,23.885942,45.079162,2020-02-08,0
18,,Saudi Arabia,23.885942,45.079162,2020-02-09,0
19,,Saudi Arabia,23.885942,45.079162,2020-02-10,0
20,,Saudi Arabia,23.885942,45.079162,2020-02-11,0
21,,Saudi Arabia,23.885942,45.079162,2020-02-12,0
22,,Saudi Arabia,23.885942,45.079162,2020-02-13,0
23,,Saudi Arabia,23.885942,45.079162,2020-02-14,0
24,,Saudi Arabia,23.885942,45.079162,2020-02-15,0
25,,Saudi Arabia,23.885942,45.079162,2020-02-16,0
26,,Saudi Arabia,23.885942,45.079162,2020-02-17,0
27,,Saudi Arabia,23.885942,45.079162,2020-02-18,0
28,,Saudi Arabia,23.885942,45.079162,2020-02-19,0
29,,Saudi Arabia,23.885942,45.079162,2020-02-20,0
30,,Saudi Arabia,23.885942,45.079162,2020-02-21,0
31,,Saudi Arabia,23.885942,45.079162,2020-02-22,0
32,,Saudi Arabia,23.885942,45.079162,2020-02-23,0
33,,Saudi Arabia,23.885942,45.079162,2020-02-24,0
34,,Saudi Arabia,23.885942,45.079162,2020-02-25,0
35,,Saudi Arabia,23.885942,45.079162,2020-02-26,0
36,,Saudi Arabia,23.885942,45.079162,2020-02-27,0
37,,Saudi Arabia,23.885942,45.079162,2020-02-28,0
38,,Saudi Arabia,23.885942,45.079162,2020-02-29,0
39,,Saudi Arabia,23.885942,45.079162,2020-03-01,0
40,,Saudi Arabia,23.885942,45.079162,2020-03-02,1
41,,Saudi Arabia,23.885942,45.079162,2020-03-03,1
42,,Saudi Arabia,23.885942,45.079162,2020-03-04,1
43,,Saudi Arabia,23.885942,45.079162,2020-03-05,5
44,,Saudi Arabia,23.885942,45.079162,2020-03-06,5
45,,Saudi Arabia,23.885942,45.079162,2020-03-07,5
46,,Saudi Arabia,23.885942,45.079162,2020-03-08,11
47,,Saudi Arabia,23.885942,45.079162,2020-03-09,15
48,,Saudi Arabia,23.885942,45.079162,2020-03-10,20
49,,Saudi Arabia,23.885942,45.079162,2020-03-11,21
50,,Saudi Arabia,23.885942,45.079162,2020-03-12,45
51,,Saudi Arabia,23.885942,45.079162,2020-03-13,86
52,,Saudi Arabia,23.885942,45.079162,2020-03-14,103
53,,Saudi Arabia,23.885942,45.079162,2020-03-15,103
54,,Saudi Arabia,23.885942,45.079162,2020-03-16,118
55,,Saudi Arabia,23.885942,45.079162,2020-03-17,171
56,,Saudi Arabia,23.885942,45.079162,2020-03-18,171
57,,Saudi Arabia,23.885942,45.079162,2020-03-19,274
58,,Saudi Arabia,23.885942,45.079162,2020-03-20,344
59,,Saudi Arabia,23.885942,45.079162,2020-03-21,392
60,,Saudi Arabia,23.885942,45.079162,2020-03-22,511
61,,Saudi Arabia,23.885942,45.079162,2020-03-23,562
62,,Saudi Arabia,23.885942,45.079162,2020-03-24,767
63,,Saudi Arabia,23.885942,45.079162,2020-03-25,900
64,,Saudi Arabia,23.885942,45.079162,2020-03-26,1012
65,,Saudi Arabia,23.885942,45.079162,2020-03-27,1104
66,,Saudi Arabia,23.885942,45.079162,2020-03-28,1203
67,,Saudi Arabia,23.885942,45.079162,2020-03-29,1299
68,,Saudi Arabia,23.885942,45.079162,2020-03-30,1453
69,,Saudi Arabia,23.885942,45.079162,2020-03-31,1563
70,,Saudi Arabia,23.885942,45.079162,2020-04-01,1720
71,,Saudi Arabia,23.885942,45.079162,2020-04-02,1885
72,,Saudi Arabia,23.885942,45.079162,2020-04-03,2039
73,,Saudi Arabia,23.885942,45.079162,2020-04-04,2179
74,,Saudi Arabia,23.885942,45.079162,2020-04-05,2402
