,date,week,state,mental_health_condition,age,gender,happiness_rating
4976,2020-04-30,week 5,Georgia,No,40,Male,2
4977,2020-04-30,week 5,New Jersey,No,62,Female,6
4978,2020-04-30,week 5,Indiana,No,61,Female,9
4979,2020-04-30,week 5,Virginia,No,60,Female,9
4980,2020-04-30,week 5,Michigan,No,37,Female,3
4981,2020-04-30,week 5,Michigan,No,32,Male,6
4982,2020-04-30,week 5,California,No,70,Male,10
4983,2020-04-30,week 5,Ohio,No,58,Male,7
4984,2020-04-30,week 5,Pennsylvania,No,32,Female,9
4985,2020-04-30,week 5,New Jersey,No,46,Male,10
4986,2020-04-30,week 5,Texas,No,46,Male,5
4987,2020-04-30,week 5,Texas,No,66,Female,7
4988,2020-04-30,week 5,North Carolina,No,58,Female,5
4989,2020-04-30,week 5,California,No,64,Female,5
4990,2020-04-30,week 5,California,No,64,Male,9
4991,2020-04-30,week 5,Ohio,No,76,Male,8
4992,2020-04-30,week 5,Georgia,No,59,Female,6
4993,2020-04-30,week 5,Florida,No,64,Female,7
4994,2020-04-30,week 5,Washington,No,56,Male,6
4995,2020-04-30,week 5,Connecticut,No,80,Male,8
4996,2020-04-30,week 5,Michigan,No,31,Male,7
4997,2020-04-30,week 5,Kansas,No,57,Male,9
4998,2020-04-30,week 5,Pennsylvania,No,21,Female,5
4999,2020-04-30,week 5,California,No,61,Male,2
5000,2020-04-30,week 5,Idaho,No,25,Female,6
5001,2020-04-30,week 5,Texas,No,61,Male,8
5002,2020-04-30,week 5,Illinois,No,50,Female,6
5003,2020-04-30,week 5,Wisconsin,Yes,67,Female,6
5004,2020-04-30,week 5,Arizona,No,68,Male,8
5005,2020-04-30,week 5,Missouri,Yes,64,Male,7
5006,2020-04-30,week 5,Arizona,No,60,Male,9
5007,2020-04-30,week 5,Pennsylvania,No,67,Male,8
5008,2020-04-30,week 5,Pennsylvania,No,68,Female,7
5009,2020-04-30,week 5,Missouri,No,74,Male,8
5010,2020-04-30,week 5,Georgia,No,48,Female,7
5011,2020-04-30,week 5,Ohio,Yes,23,Male,7
5012,2020-04-30,week 5,New York,Yes,28,Female,6
5013,2020-04-30,week 5,Virginia,No,32,Male,6
5014,2020-04-30,week 5,Louisiana,No,55,Male,5
5015,2020-04-30,week 5,Texas,No,66,Male,8
5016,2020-04-30,week 5,Maryland,No,61,Male,10
5017,2020-04-30,week 5,California,No,27,Male,4
5018,2020-04-30,week 5,Minnesota,No,60,Female,8
5019,2020-04-30,week 5,Vermont,No,35,Female,8
5020,2020-04-30,week 5,Alabama,No,68,Female,9
5021,2020-04-30,week 5,Nebraska,No,65,Female,2
5022,2020-04-30,week 5,Rhode Island,No,78,Female,10
5023,2020-04-30,week 5,Tennessee,No,71,Female,8
5024,2020-04-30,week 5,Kentucky,No,52,Female,8
5025,2020-04-30,week 5,Minnesota,No,35,Female,6
5026,2020-04-30,week 5,New York,No,44,Female,8
5027,2020-04-30,week 5,Virginia,No,46,Male,6
5028,2020-04-30,week 5,North Carolina,Yes,53,Female,8
5029,2020-04-30,week 5,Minnesota,No,62,Male,8
5030,2020-04-30,week 5,Alabama,No,66,Female,9
5031,2020-04-30,week 5,Wyoming,No,80,Male,10
5032,2020-04-30,week 5,Kansas,No,42,Male,5
5033,2020-04-30,week 5,California,No,28,Male,8
5034,2020-04-30,week 5,Virginia, ,65,Male,8
5035,2020-04-30,week 5,North Carolina,Yes,70,Female,5
5036,2020-04-30,week 5,Pennsylvania,No,69,Male,6
5037,2020-04-30,week 5,Michigan,No,71,Female,5
5038,2020-04-30,week 5,South Carolina,No,71,Female,10
5039,2020-04-30,week 5,Texas,No,36,Female,8
5040,2020-01-05,week 5,North Carolina,No,42,Male,10
5041,2020-04-30,week 5,New York,No,32,Male,5
5042,2020-04-30,week 5,Texas,No,69,Female,9
5043,2020-04-30,week 5,California,No,78,Female,10
5044,2020-04-30,week 5,Washington,No,66,Male,3
5045,2020-04-30,week 5,Texas,No,62,Female,8
5046,2020-04-30,week 5,California,No,58,Female,8
5047,2020-04-30,week 5,California,No,64,Female,5
5048,2020-04-30,week 5,Florida,No,59,Female,6
5049,2020-04-30,week 5,Florida,Yes,59,Female,5
5050,2020-04-30,week 5,Georgia,Yes,64,Female,5
5051,2020-04-30,week 5,Ohio,No,65,Male,6
5052,2020-04-30,week 5,Florida,No,56,Female,9
5053,2020-04-30,week 5,Alabama,No,70,Male,10
5054,2020-04-30,week 5,North Carolina,No,66,Female,8
5055,2020-04-30,week 5,Missouri,No,58,Female,7
5056,2020-04-30,week 5,Georgia, ,45,Female,9
5057,2020-04-30,week 5,New York,No,58,Female,7
5058,2020-04-30,week 5,South Dakota,No,66,Female,9
5059,2020-04-30,week 5,Oregon,No,50,Female,8
5060,2020-04-30,week 5,Massachusetts,No,82,Female,9
5061,2020-04-30,week 5,California,No,68,Female,6
5062,2020-04-30,week 5,New York,No,31,Male,8
5063,2020-04-30,week 5,Maine,No,73,Female,8
5064,2020-04-30,week 5,Oregon,No,30,Female,3
5065,2020-04-30,week 5,Pennsylvania,No,56,Male,6
5066,2020-04-30,week 5,Florida,No,38,Male,8
