date,cases,daily_change
2020-01-22,548,
2020-01-23,643,95.0
2020-01-24,920,277.0
2020-01-25,1406,486.0
2020-01-26,2075,669.0
2020-01-27,2877,802.0
2020-01-28,5509,2632.0
2020-01-29,6087,578.0
2020-01-30,8141,2054.0
2020-01-31,9802,1661.0
2020-02-01,11891,2089.0
2020-02-02,16630,4739.0
2020-02-03,19716,3086.0
2020-02-04,23707,3991.0
2020-02-05,27440,3733.0
2020-02-06,30587,3147.0
2020-02-07,34110,3523.0
2020-02-08,36814,2704.0
2020-02-09,39829,3015.0
2020-02-10,42354,2525.0
2020-02-11,44386,2032.0
2020-02-12,44759,373.0
2020-02-13,59895,15136.0
2020-02-14,66358,6463.0
2020-02-15,68413,2055.0
2020-02-16,70513,2100.0
2020-02-17,72434,1921.0
2020-02-18,74211,1777.0
2020-02-19,74619,408.0
2020-02-20,75077,458.0
2020-02-21,75550,473.0
2020-02-22,77001,1451.0
2020-02-23,77022,21.0
2020-02-24,77241,219.0
2020-02-25,77754,513.0
2020-02-26,78166,412.0
2020-02-27,78600,434.0
2020-02-28,78928,328.0
2020-02-29,79356,428.0
2020-03-01,79932,576.0
2020-03-02,80136,204.0
2020-03-03,80261,125.0
2020-03-04,80386,125.0
2020-03-05,80537,151.0
2020-03-06,80690,153.0
2020-03-07,80770,80.0
2020-03-08,80823,53.0
2020-03-09,80860,37.0
2020-03-10,80887,27.0
2020-03-11,80921,34.0
2020-03-12,80932,11.0
2020-03-13,80945,13.0
2020-03-14,80977,32.0
2020-03-15,81003,26.0
2020-03-16,81033,30.0
2020-03-17,81058,25.0
2020-03-18,81102,44.0
2020-03-19,81156,54.0
2020-03-20,81250,94.0
2020-03-21,81305,55.0
2020-03-22,81435,130.0
2020-03-23,81498,63.0
2020-03-24,81591,93.0
2020-03-25,81661,70.0
2020-03-26,81782,121.0
2020-03-27,81897,115.0
2020-03-28,81999,102.0
2020-03-29,82122,123.0
2020-03-30,82198,76.0
2020-03-31,82279,81.0
2020-04-01,82361,82.0
2020-04-02,82432,71.0
2020-04-03,82511,79.0
2020-04-04,82543,32.0
2020-04-05,82602,59.0
2020-04-06,82665,63.0
2020-04-07,82718,53.0
2020-04-08,82809,91.0
2020-04-09,82883,74.0
2020-04-10,82941,58.0
2020-04-11,83014,73.0
2020-04-12,83134,120.0
2020-04-13,83213,79.0
2020-04-14,83306,93.0
2020-04-15,83356,50.0
2020-04-16,83403,47.0
2020-04-17,83760,357.0
2020-04-18,83787,27.0
2020-04-19,83805,18.0
2020-04-20,83817,12.0
2020-04-21,83853,36.0
2020-04-22,83868,15.0
2020-04-23,83884,16.0
2020-04-24,83899,15.0
2020-04-25,83909,10.0
2020-04-26,83912,3.0
2020-04-27,83918,6.0
2020-04-28,83940,22.0
2020-04-29,83944,4.0
2020-04-30,83956,12.0
2020-05-01,83959,3.0
2020-05-02,83959,0.0
2020-05-03,83964,5.0
