date,cases,daily_change
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,1,1.0
2020-02-28,1,0.0
2020-02-29,3,2.0
2020-03-01,4,1.0
2020-03-02,4,0.0
2020-03-03,6,2.0
2020-03-04,11,5.0
2020-03-05,11,0.0
2020-03-06,24,13.0
2020-03-07,24,0.0
2020-03-08,37,13.0
2020-03-09,92,55.0
2020-03-10,264,172.0
2020-03-11,444,180.0
2020-03-12,617,173.0
2020-03-13,804,187.0
2020-03-14,836,32.0
2020-03-15,875,39.0
2020-03-16,933,58.0
2020-03-17,1025,92.0
2020-03-18,1116,91.0
2020-03-19,1225,109.0
2020-03-20,1337,112.0
2020-03-21,1420,83.0
2020-03-22,1514,94.0
2020-03-23,1572,58.0
2020-03-24,1718,146.0
2020-03-25,1862,144.0
2020-03-26,2023,161.0
2020-03-27,2200,177.0
2020-03-28,2366,166.0
2020-03-29,2564,198.0
2020-03-30,2755,191.0
2020-03-31,3039,284.0
2020-04-01,3290,251.0
2020-04-02,3573,283.0
2020-04-03,3946,373.0
2020-04-04,4269,323.0
2020-04-05,4561,292.0
2020-04-06,4875,314.0
2020-04-07,5266,391.0
2020-04-08,5597,331.0
2020-04-09,5830,233.0
2020-04-10,6014,184.0
2020-04-11,6191,177.0
2020-04-12,6369,178.0
2020-04-13,6513,144.0
2020-04-14,6706,193.0
2020-04-15,6876,170.0
2020-04-16,7074,198.0
2020-04-17,7268,194.0
2020-04-18,7437,169.0
2020-04-19,7580,143.0
2020-04-20,7711,131.0
2020-04-21,7891,180.0
2020-04-22,8108,217.0
2020-04-23,8271,163.0
2020-04-24,8408,137.0
2020-04-25,8643,235.0
2020-04-26,8773,130.0
2020-04-27,8896,123.0
2020-04-28,9049,153.0
2020-04-29,9206,157.0
2020-04-30,9356,150.0
2020-05-01,9509,153.0
2020-05-02,9605,96.0
2020-05-03,9721,116.0
2020-05-04,9868,147.0
2020-05-05,10019,151.0
2020-05-06,10136,117.0
2020-05-07,10281,145.0
2020-05-08,10416,135.0
2020-05-09,10517,101.0
2020-05-10,10627,110.0
2020-05-11,10711,84.0
2020-05-12,10789,78.0
2020-05-13,10865,76.0
2020-05-14,10911,46.0
2020-05-15,10989,78.0
2020-05-16,11056,67.0
2020-05-17,11125,69.0
2020-05-18,11166,41.0
2020-05-19,11242,76.0
2020-05-20,11315,73.0
2020-05-21,11380,65.0
2020-05-22,11428,48.0
2020-05-23,11487,59.0
2020-05-24,11559,72.0
2020-05-25,11586,27.0
2020-05-26,11627,41.0
2020-05-27,11680,53.0
2020-05-28,11712,32.0
2020-05-29,11793,81.0
2020-05-30,11833,40.0
2020-05-31,11869,36.0
2020-06-01,11899,30.0
2020-06-02,11934,35.0
2020-06-03,11971,37.0
2020-06-04,12011,40.0
2020-06-05,12075,64.0
