date,cases,daily_change
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,1,1.0
2020-01-30,1,0.0
2020-01-31,1,0.0
2020-02-01,1,0.0
2020-02-02,1,0.0
2020-02-03,1,0.0
2020-02-04,1,0.0
2020-02-05,1,0.0
2020-02-06,1,0.0
2020-02-07,1,0.0
2020-02-08,1,0.0
2020-02-09,1,0.0
2020-02-10,1,0.0
2020-02-11,1,0.0
2020-02-12,1,0.0
2020-02-13,1,0.0
2020-02-14,1,0.0
2020-02-15,1,0.0
2020-02-16,1,0.0
2020-02-17,1,0.0
2020-02-18,1,0.0
2020-02-19,1,0.0
2020-02-20,1,0.0
2020-02-21,1,0.0
2020-02-22,1,0.0
2020-02-23,1,0.0
2020-02-24,1,0.0
2020-02-25,1,0.0
2020-02-26,2,1.0
2020-02-27,2,0.0
2020-02-28,2,0.0
2020-02-29,3,1.0
2020-03-01,6,3.0
2020-03-02,6,0.0
2020-03-03,6,0.0
2020-03-04,6,0.0
2020-03-05,12,6.0
2020-03-06,15,3.0
2020-03-07,15,0.0
2020-03-08,23,8.0
2020-03-09,30,7.0
2020-03-10,40,10.0
2020-03-11,59,19.0
2020-03-12,59,0.0
2020-03-13,155,96.0
2020-03-14,225,70.0
2020-03-15,244,19.0
2020-03-16,277,33.0
2020-03-17,321,44.0
2020-03-18,336,15.0
2020-03-19,400,64.0
2020-03-20,450,50.0
2020-03-21,523,73.0
2020-03-22,626,103.0
2020-03-23,700,74.0
2020-03-24,792,92.0
2020-03-25,880,88.0
2020-03-26,958,78.0
2020-03-27,1041,83.0
2020-03-28,1167,126.0
2020-03-29,1240,73.0
2020-03-30,1352,112.0
2020-03-31,1418,66.0
2020-04-01,1446,28.0
2020-04-02,1518,72.0
2020-04-03,1615,97.0
2020-04-04,1882,267.0
2020-04-05,1927,45.0
2020-04-06,2176,249.0
2020-04-07,2308,132.0
2020-04-08,2487,179.0
2020-04-09,2605,118.0
2020-04-10,2769,164.0
2020-04-11,2905,136.0
2020-04-12,2974,69.0
2020-04-13,3064,90.0
2020-04-14,3161,97.0
2020-04-15,3237,76.0
2020-04-16,3369,132.0
2020-04-17,3489,120.0
2020-04-18,3681,192.0
2020-04-19,3783,102.0
2020-04-20,3868,85.0
2020-04-21,4014,146.0
2020-04-22,4129,115.0
2020-04-23,4284,155.0
2020-04-24,4395,111.0
2020-04-25,4475,80.0
2020-04-26,4576,101.0
2020-04-27,4695,119.0
2020-04-28,4740,45.0
2020-04-29,4906,166.0
2020-04-30,4995,89.0
2020-05-01,5051,56.0
2020-05-02,5176,125.0
2020-05-03,5254,78.0
2020-05-04,5327,73.0
2020-05-05,5412,85.0
2020-05-06,5573,161.0
2020-05-07,5673,100.0
2020-05-08,5738,65.0
2020-05-09,5880,142.0
2020-05-10,5962,82.0
2020-05-11,5984,22.0
2020-05-12,6003,19.0
2020-05-13,6054,51.0
2020-05-14,6145,91.0
2020-05-15,6228,83.0
2020-05-16,6286,58.0
2020-05-17,6347,61.0
2020-05-18,6380,33.0
2020-05-19,6399,19.0
2020-05-20,6443,44.0
2020-05-21,6493,50.0
2020-05-22,6537,44.0
2020-05-23,6568,31.0
2020-05-24,6579,11.0
2020-05-25,6599,20.0
2020-05-26,6628,29.0
2020-05-27,6692,64.0
2020-05-28,6743,51.0
2020-05-29,6776,33.0
2020-05-30,6826,50.0
2020-05-31,6859,33.0
2020-06-01,6885,26.0
2020-06-02,6887,2.0
2020-06-03,6911,24.0
2020-06-04,6911,0.0
2020-06-05,6941,30.0
2020-06-06,6964,23.0
