date,cases,daily_change
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,1,1.0
2020-01-31,1,0.0
2020-02-01,1,0.0
2020-02-02,2,1.0
2020-02-03,3,1.0
2020-02-04,3,0.0
2020-02-05,3,0.0
2020-02-06,3,0.0
2020-02-07,3,0.0
2020-02-08,3,0.0
2020-02-09,3,0.0
2020-02-10,3,0.0
2020-02-11,3,0.0
2020-02-12,3,0.0
2020-02-13,3,0.0
2020-02-14,3,0.0
2020-02-15,3,0.0
2020-02-16,3,0.0
2020-02-17,3,0.0
2020-02-18,3,0.0
2020-02-19,3,0.0
2020-02-20,3,0.0
2020-02-21,3,0.0
2020-02-22,3,0.0
2020-02-23,3,0.0
2020-02-24,3,0.0
2020-02-25,3,0.0
2020-02-26,3,0.0
2020-02-27,3,0.0
2020-02-28,3,0.0
2020-02-29,3,0.0
2020-03-01,3,0.0
2020-03-02,5,2.0
2020-03-03,5,0.0
2020-03-04,28,23.0
2020-03-05,30,2.0
2020-03-06,31,1.0
2020-03-07,34,3.0
2020-03-08,39,5.0
2020-03-09,43,4.0
2020-03-10,56,13.0
2020-03-11,62,6.0
2020-03-12,73,11.0
2020-03-13,82,9.0
2020-03-14,102,20.0
2020-03-15,113,11.0
2020-03-16,119,6.0
2020-03-17,142,23.0
2020-03-18,156,14.0
2020-03-19,194,38.0
2020-03-20,244,50.0
2020-03-21,330,86.0
2020-03-22,396,66.0
2020-03-23,499,103.0
2020-03-24,536,37.0
2020-03-25,657,121.0
2020-03-26,727,70.0
2020-03-27,887,160.0
2020-03-28,987,100.0
2020-03-29,1024,37.0
2020-03-30,1251,227.0
2020-03-31,1397,146.0
2020-04-01,1998,601.0
2020-04-02,2543,545.0
2020-04-03,2567,24.0
2020-04-04,3082,515.0
2020-04-05,3588,506.0
2020-04-06,4778,1190.0
2020-04-07,5311,533.0
2020-04-08,5916,605.0
2020-04-09,6725,809.0
2020-04-10,7598,873.0
2020-04-11,8446,848.0
2020-04-12,9205,759.0
2020-04-13,10453,1248.0
2020-04-14,11487,1034.0
2020-04-15,12322,835.0
2020-04-16,13430,1108.0
2020-04-17,14352,922.0
2020-04-18,15722,1370.0
2020-04-19,17615,1893.0
2020-04-20,18539,924.0
2020-04-21,20080,1541.0
2020-04-22,21370,1290.0
2020-04-23,23077,1707.0
2020-04-24,24530,1453.0
2020-04-25,26283,1753.0
2020-04-26,27890,1607.0
2020-04-27,29451,1561.0
2020-04-28,31324,1873.0
2020-04-29,33062,1738.0
2020-04-30,34863,1801.0
2020-05-01,37257,2394.0
2020-05-02,39699,2442.0
2020-05-03,42505,2806.0
2020-05-04,46437,3932.0
2020-05-05,49400,2963.0
2020-05-06,52987,3587.0
2020-05-07,56351,3364.0
2020-05-08,59695,3344.0
2020-05-09,62808,3113.0
2020-05-10,67161,4353.0
2020-05-11,70768,3607.0
2020-05-12,74292,3524.0
2020-05-13,78055,3763.0
2020-05-14,81997,3942.0
2020-05-15,85784,3787.0
2020-05-16,90648,4864.0
2020-05-17,95698,5050.0
2020-05-18,100328,4630.0
2020-05-19,106475,6147.0
2020-05-20,112028,5553.0
2020-05-21,118226,6198.0
2020-05-22,124794,6568.0
2020-05-23,131423,6629.0
2020-05-24,138536,7113.0
2020-05-25,144950,6414.0
2020-05-26,150793,5843.0
2020-05-27,158086,7293.0
2020-05-28,165386,7300.0
2020-05-29,173491,8105.0
2020-05-30,181827,8336.0
2020-05-31,190609,8782.0
2020-06-01,198370,7761.0
2020-06-02,207191,8821.0
2020-06-03,216824,9633.0
