date,cases,daily_change
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,3,3.0
2020-01-26,4,1.0
2020-01-27,4,0.0
2020-01-28,4,0.0
2020-01-29,7,3.0
2020-01-30,8,1.0
2020-01-31,8,0.0
2020-02-01,8,0.0
2020-02-02,8,0.0
2020-02-03,8,0.0
2020-02-04,10,2.0
2020-02-05,12,2.0
2020-02-06,12,0.0
2020-02-07,12,0.0
2020-02-08,16,4.0
2020-02-09,16,0.0
2020-02-10,18,2.0
2020-02-11,18,0.0
2020-02-12,18,0.0
2020-02-13,19,1.0
2020-02-14,19,0.0
2020-02-15,22,3.0
2020-02-16,22,0.0
2020-02-17,22,0.0
2020-02-18,22,0.0
2020-02-19,22,0.0
2020-02-20,22,0.0
2020-02-21,22,0.0
2020-02-22,22,0.0
2020-02-23,22,0.0
2020-02-24,22,0.0
2020-02-25,22,0.0
2020-02-26,22,0.0
2020-02-27,23,1.0
2020-02-28,23,0.0
2020-02-29,25,2.0
2020-03-01,29,4.0
2020-03-02,29,0.0
2020-03-03,36,7.0
2020-03-04,50,14.0
2020-03-05,50,0.0
2020-03-06,83,33.0
2020-03-07,93,10.0
2020-03-08,99,6.0
2020-03-09,117,18.0
2020-03-10,129,12.0
2020-03-11,149,20.0
2020-03-12,149,0.0
2020-03-13,197,48.0
2020-03-14,238,41.0
2020-03-15,428,190.0
2020-03-16,566,138.0
2020-03-17,673,107.0
2020-03-18,790,117.0
2020-03-19,900,110.0
2020-03-20,1030,130.0
2020-03-21,1183,153.0
2020-03-22,1306,123.0
2020-03-23,1518,212.0
2020-03-24,1624,106.0
2020-03-25,1796,172.0
2020-03-26,2031,235.0
2020-03-27,2161,130.0
2020-03-28,2320,159.0
2020-03-29,2470,150.0
2020-03-30,2626,156.0
2020-03-31,2766,140.0
2020-04-01,2908,142.0
2020-04-02,3116,208.0
2020-04-03,3333,217.0
2020-04-04,3483,150.0
2020-04-05,3662,179.0
2020-04-06,3793,131.0
2020-04-07,3963,170.0
2020-04-08,4119,156.0
2020-04-09,4228,109.0
2020-04-10,4346,118.0
2020-04-11,4530,184.0
2020-04-12,4683,153.0
2020-04-13,4817,134.0
2020-04-14,4987,170.0
2020-04-15,5072,85.0
2020-04-16,5182,110.0
2020-04-17,5251,69.0
2020-04-18,5305,54.0
2020-04-19,5389,84.0
2020-04-20,5425,36.0
2020-04-21,5482,57.0
2020-04-22,5532,50.0
2020-04-23,5603,71.0
2020-04-24,5691,88.0
2020-04-25,5742,51.0
2020-04-26,5780,38.0
2020-04-27,5820,40.0
2020-04-28,5851,31.0
2020-04-29,5945,94.0
2020-04-30,6002,57.0
2020-05-01,6071,69.0
2020-05-02,6176,105.0
2020-05-03,6298,122.0
2020-05-04,6353,55.0
2020-05-05,6383,30.0
2020-05-06,6428,45.0
2020-05-07,6467,39.0
2020-05-08,6535,68.0
2020-05-09,6589,54.0
2020-05-10,6656,67.0
2020-05-11,6726,70.0
2020-05-12,6742,16.0
2020-05-13,6779,37.0
2020-05-14,6819,40.0
2020-05-15,6855,36.0
2020-05-16,6872,17.0
2020-05-17,6894,22.0
2020-05-18,6941,47.0
2020-05-19,6978,37.0
2020-05-20,7009,31.0
2020-05-21,7059,50.0
2020-05-22,7137,78.0
2020-05-23,7185,48.0
2020-05-24,7245,60.0
2020-05-25,7417,172.0
2020-05-26,7604,187.0
2020-05-27,7619,15.0
2020-05-28,7629,10.0
2020-05-29,7732,103.0
2020-05-30,7762,30.0
2020-05-31,7819,57.0
2020-06-01,7857,38.0
2020-06-02,7877,20.0
2020-06-03,7970,93.0
2020-06-04,8247,277.0
2020-06-05,8266,19.0
