date,cases,daily_change
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,1,1.0
2020-02-29,4,3.0
2020-03-01,5,1.0
2020-03-02,5,0.0
2020-03-03,5,0.0
2020-03-04,5,0.0
2020-03-05,5,0.0
2020-03-06,6,1.0
2020-03-07,6,0.0
2020-03-08,7,1.0
2020-03-09,7,0.0
2020-03-10,7,0.0
2020-03-11,8,1.0
2020-03-12,12,4.0
2020-03-13,26,14.0
2020-03-14,41,15.0
2020-03-15,53,12.0
2020-03-16,82,29.0
2020-03-17,93,11.0
2020-03-18,118,25.0
2020-03-19,164,46.0
2020-03-20,203,39.0
2020-03-21,251,48.0
2020-03-22,316,65.0
2020-03-23,367,51.0
2020-03-24,405,38.0
2020-03-25,475,70.0
2020-03-26,585,110.0
2020-03-27,717,132.0
2020-03-28,848,131.0
2020-03-29,993,145.0
2020-03-30,1094,101.0
2020-03-31,1215,121.0
2020-04-01,1378,163.0
2020-04-02,1510,132.0
2020-04-03,1688,178.0
2020-04-04,1890,202.0
2020-04-05,2143,253.0
2020-04-06,2439,296.0
2020-04-07,2785,346.0
2020-04-08,3181,396.0
2020-04-09,3441,260.0
2020-04-10,3844,403.0
2020-04-11,4219,375.0
2020-04-12,4661,442.0
2020-04-13,5014,353.0
2020-04-14,5399,385.0
2020-04-15,5847,448.0
2020-04-16,6297,450.0
2020-04-17,6875,578.0
2020-04-18,7497,622.0
2020-04-19,8261,764.0
2020-04-20,8772,511.0
2020-04-21,9501,729.0
2020-04-22,10544,1043.0
2020-04-23,11633,1089.0
2020-04-24,12872,1239.0
2020-04-25,13842,970.0
2020-04-26,14677,835.0
2020-04-27,15529,852.0
2020-04-28,16752,1223.0
2020-04-29,17799,1047.0
2020-04-30,19224,1425.0
2020-05-01,20739,1515.0
2020-05-02,22088,1349.0
2020-05-03,23471,1383.0
2020-05-04,24905,1434.0
2020-05-05,26025,1120.0
2020-05-06,27634,1609.0
2020-05-07,29616,1982.0
2020-05-08,31522,1906.0
2020-05-09,33460,1938.0
2020-05-10,35022,1562.0
2020-05-11,36327,1305.0
2020-05-12,38324,1997.0
2020-05-13,40186,1862.0
2020-05-14,42595,2409.0
2020-05-15,45032,2437.0
2020-05-16,47144,2112.0
2020-05-17,49219,2075.0
2020-05-18,51633,2414.0
2020-05-19,54346,2713.0
2020-05-20,56594,2248.0
2020-05-21,59567,2973.0
2020-05-22,62527,2960.0
2020-05-23,65856,3329.0
2020-05-24,68620,2764.0
2020-05-25,71105,2485.0
2020-05-26,74560,3455.0
2020-05-27,78023,3463.0
2020-05-28,81400,3377.0
2020-05-29,84627,3227.0
2020-05-30,87512,2885.0
2020-05-31,90664,3152.0
2020-06-01,93435,2771.0
2020-06-02,97326,3891.0
2020-06-03,101238,3912.0
