date,cases,daily_change
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,1,1.0
2020-03-03,1,0.0
2020-03-04,1,0.0
2020-03-05,5,4.0
2020-03-06,5,0.0
2020-03-07,5,0.0
2020-03-08,11,6.0
2020-03-09,15,4.0
2020-03-10,20,5.0
2020-03-11,21,1.0
2020-03-12,45,24.0
2020-03-13,86,41.0
2020-03-14,103,17.0
2020-03-15,103,0.0
2020-03-16,118,15.0
2020-03-17,171,53.0
2020-03-18,171,0.0
2020-03-19,274,103.0
2020-03-20,344,70.0
2020-03-21,392,48.0
2020-03-22,511,119.0
2020-03-23,562,51.0
2020-03-24,767,205.0
2020-03-25,900,133.0
2020-03-26,1012,112.0
2020-03-27,1104,92.0
2020-03-28,1203,99.0
2020-03-29,1299,96.0
2020-03-30,1453,154.0
2020-03-31,1563,110.0
2020-04-01,1720,157.0
2020-04-02,1885,165.0
2020-04-03,2039,154.0
2020-04-04,2179,140.0
2020-04-05,2402,223.0
2020-04-06,2605,203.0
2020-04-07,2795,190.0
2020-04-08,2932,137.0
2020-04-09,3287,355.0
2020-04-10,3651,364.0
2020-04-11,4033,382.0
2020-04-12,4462,429.0
2020-04-13,4934,472.0
2020-04-14,5369,435.0
2020-04-15,5862,493.0
2020-04-16,6380,518.0
2020-04-17,7142,762.0
2020-04-18,8274,1132.0
2020-04-19,9362,1088.0
2020-04-20,10484,1122.0
2020-04-21,11631,1147.0
2020-04-22,12772,1141.0
2020-04-23,13930,1158.0
2020-04-24,15102,1172.0
2020-04-25,16299,1197.0
2020-04-26,17522,1223.0
2020-04-27,18811,1289.0
2020-04-28,20077,1266.0
2020-04-29,21402,1325.0
2020-04-30,22753,1351.0
2020-05-01,24097,1344.0
2020-05-02,25459,1362.0
2020-05-03,27011,1552.0
2020-05-04,28656,1645.0
2020-05-05,30251,1595.0
2020-05-06,31938,1687.0
2020-05-07,33731,1793.0
2020-05-08,35432,1701.0
2020-05-09,37136,1704.0
2020-05-10,39048,1912.0
2020-05-11,41014,1966.0
2020-05-12,42925,1911.0
2020-05-13,44830,1905.0
2020-05-14,46869,2039.0
2020-05-15,49176,2307.0
2020-05-16,52016,2840.0
2020-05-17,54752,2736.0
2020-05-18,57345,2593.0
2020-05-19,59854,2509.0
2020-05-20,62545,2691.0
2020-05-21,65077,2532.0
2020-05-22,67719,2642.0
2020-05-23,70161,2442.0
2020-05-24,72560,2399.0
2020-05-25,74795,2235.0
2020-05-26,76726,1931.0
2020-05-27,78541,1815.0
2020-05-28,80185,1644.0
2020-05-29,81766,1581.0
2020-05-30,83384,1618.0
2020-05-31,85261,1877.0
2020-06-01,87142,1881.0
2020-06-02,89011,1869.0
2020-06-03,91182,2171.0
