,iso_alpha,country,happiness_rating
11,AFG,Afghanistan,2.375091791
23,ALB,Albania,4.995317936
31,DZA,Algeria,4.744627476000001
49,ARG,Argentina,6.085560799
74,AUS,Australia,7.233994961
86,AUT,Austria,7.195361137000001
100,AZE,Azerbaijan,5.173389435
123,BGD,Bangladesh,5.114216805
137,BLR,Belarus,5.821453094
149,BEL,Belgium,6.772138119
162,BEN,Benin,4.976360798
179,BOL,Bolivia,5.67427063
191,BIH,Bosnia and Herzegovina,6.01552248
203,BWA,Botswana,3.471084833
216,BRA,Brazil,6.451148987000001
227,BGR,Bulgaria,5.108438015
240,BFA,Burkina Faso,4.740892887
259,KHM,Cambodia,4.998284817
273,CMR,Cameroon,4.936737537
286,CAN,Canada,7.1090765
305,TCD,Chad,4.250799179
319,CHL,Chile,5.942250252000001
333,CHN,China,5.144120216
347,COL,Colombia,6.350297928
353,COM,Comoros,4.608616352
363,COG,Congo (Brazzaville),5.212622643
385,CRI,Costa Rica,6.997618675
397,HRV,Croatia,5.6257438660000005
410,CYP,Cyprus,6.136832714
433,DNK,Denmark,7.693003178
451,DOM,Dominican Republic,6.004237175
465,ECU,Ecuador,5.809131145
478,EGY,Egypt,4.327831745
492,SLV,El Salvador,6.454820633
505,EST,Estonia,6.034641266
513,ETH,Ethiopia,4.099555016
525,FIN,Finland,7.780347824
538,FRA,France,6.689644337000001
547,GAB,Gabon,4.914393425
550,GMB,Gambia,5.163627148
564,GEO,Georgia,4.89183569
577,DEU,Germany,7.035472392999999
591,GHA,Ghana,4.96680975
603,GRC,Greece,5.952157497000001
617,GTM,Guatemala,6.262175083
626,GIN,Guinea,4.76768446
652,HND,Honduras,5.930051327
662,HKG,Hong Kong S.A.R. of China,5.659317017
674,HUN,Hungary,6.000259876
681,ISL,Iceland,7.532504558999999
695,IND,India,3.24876976
709,IDN,Indonesia,5.346512794
720,IRN,Iran,5.006145954
744,IRL,Ireland,7.254841327999999
770,ITA,Italy,6.445416927
778,CIV,Ivory Coast,5.3920121189999985
796,JPN,Japan,5.908039092999999
809,JOR,Jordan,4.452548027
823,KAZ,Kazakhstan,6.272268295
837,KEN,Kenya,4.618850231000001
850,KOS,Kosovo,6.4251441960000015
861,KWT,Kuwait,6.106119633
875,KGZ,Kyrgyzstan,5.685220717999999
883,LAO,Laos,5.196856022
896,LVA,Latvia,5.969753742000001
909,LBN,Lebanon,4.024219513
913,LSO,Lesotho,3.5117805
922,LBR,Liberia,5.121460915
928,LBY,Libya,5.33022213
942,LTU,Lithuania,6.064097881
953,LUX,Luxembourg,7.4040155410000015
965,MKD,Macedonia,5.015485287
976,MDG,Madagascar,4.339087486
988,MWI,Malawi,3.869123697
1000,MYS,Malaysia,5.427954197
1014,MLI,Mali,4.98799181
1025,MLT,Malta,6.73297739
1038,MRT,Mauritania,4.152619362
1044,MUS,Mauritius,6.2411651610000005
1057,MEX,Mexico,6.431945324
1071,MDA,Moldova,5.803450584
1083,MNG,Mongolia,5.562905312000001
1095,MNE,Montenegro,5.3860249520000005
1104,NOV,Morocco,5.056751728
1112,MOZ,Mozambique,4.932132721
1120,MMR,Myanmar,4.43423748
1125,NAM,Namibia,4.435811043
1139,NPL,Nepal,5.448724747000001
1151,NLD,Netherlands,7.42526865
1164,NZL,New Zealand,7.205174446
1178,NIC,Nicaragua,6.112545012999999
1192,NER,Niger,5.0035443310000005
1204,NGA,Nigeria,4.356419086
1211,CYP,North Cyprus,5.4666152000000015
1220,NOR,Norway,7.442139626
1247,PSE,Palestinian Territories,4.48253727
1261,PAN,Panama,6.085955143
1274,PRY,Paraguay,5.652625561
1288,PER,Peru,5.999381542
1302,PHL,Philippines,6.267745017999999
1314,POL,Poland,6.24209404
1326,PRT,Portugal,6.095473289
1343,ROU,Romania,6.1299424170000005
1368,RWA,Rwanda,3.268152237
1381,SAU,Saudi Arabia,6.5612473489999985
1395,SEN,Senegal,5.488736629
1407,SRB,Serbia,6.2414073939999986
1419,SLE,Sierra Leone,3.447381496
1432,SGP,Singapore,6.378359795
1443,SVK,Slovakia,6.2434287070000005
1455,SVN,Slovenia,6.665273666
1476,ZAF,South Africa,5.034863472
1490,KOR,South Korea,5.902816772
1507,ESP,Spain,6.457449436
1520,LKA,Sri Lanka,4.213299274
1529,SWZ,Swaziland,4.396114826
1542,SWE,Sweden,7.398092747000001
1551,CHE,Switzerland,7.69422102
1570,TWN,Taiwan Province of China,6.537089825
1584,TJK,Tajikistan,5.464015484
1598,TZA,Tanzania,3.640154839
1612,THA,Thailand,6.02215147
1621,TGO,Togo,4.179493904
1637,TUN,Tunisia,4.315479755
1650,TUR,Turkey,4.87207365
1660,TKM,Turkmenistan,5.474299908
1674,UGA,Uganda,4.948051453
1688,UKR,Ukraine,4.701762199
1700,ARE,United Arab Emirates,6.710782527999999
1713,GBR,United Kingdom,7.157151222
1727,USA,United States,6.943701267000001
1741,URY,Uruguay,6.6003370289999985
1754,UZB,Uzbekistan,6.1540493970000005
1767,VEN,Venezuela,5.080803394
1781,VNM,Vietnam,5.4674510960000005
1793,YEM,Yemen,4.1969127660000005
1806,ZMB,Zambia,3.306796551
1820,ZWE,Zimbabwe,2.693523169
0,RUS,Russia,5.81
1,SSD,South Sudan,2.85
2,SDN,Sudan,4.14
3,COD,Democratic Republic of the Congo,4.25
4,AGO,Angola,3.8
5,CAF,Central Africa,3.08
6,MAR,Morocco,5.25
7,SOM,Somalia,4.98
8,PAK,Pakistan,5.47
9,IRQ,Iraq,4.46
10,SYR,Syria,3.46
