date,date,happiness_rating
2020-01-05,2020-01-05,5.2404181184668985
2020-01-06,2020-01-06,6.0
2020-02-05,2020-02-05,4.94468085106383
2020-02-06,2020-02-06,7.0
2020-02-09,2020-02-09,5.341935483870968
2020-03-05,2020-03-05,5.276595744680851
2020-03-06,2020-03-06,5.405405405405405
2020-03-09,2020-03-09,5.235294117647059
2020-04-05,2020-04-05,3.4
2020-04-09,2020-04-09,5.168103448275862
2020-04-24,2020-04-24,5.007936507936508
2020-04-25,2020-04-25,5.261101243339254
2020-04-26,2020-04-26,4.784
2020-04-27,2020-04-27,4.928571428571429
2020-04-28,2020-04-28,4.689655172413793
2020-04-30,2020-04-30,5.261904761904762
2020-05-05,2020-05-05,3.3333333333333335
2020-05-09,2020-05-09,5.405940594059406
2020-05-13,2020-05-13,5.0682414698162725
2020-05-14,2020-05-14,5.124361158432709
2020-05-15,2020-05-15,6.086956521739131
2020-05-16,2020-05-16,4.75
2020-05-17,2020-05-17,4.8
2020-05-18,2020-05-18,2.0
2020-05-27,2020-05-27,5.40625
2020-05-28,2020-05-28,5.3008264462809915
2020-05-29,2020-05-29,4.333333333333333
2020-05-30,2020-05-30,4.361111111111111
2020-05-31,2020-05-31,5.260869565217392
2020-06-05,2020-06-05,5.132478632478633
2020-06-08,2020-06-08,5.0359712230215825
2020-06-09,2020-06-09,3.8
2020-06-13,2020-06-13,7.0
2020-06-14,2020-06-14,1.0
2020-06-24,2020-06-24,5.316901408450704
2020-06-25,2020-06-25,5.259615384615385
2020-06-26,2020-06-26,4.995110024449878
2020-06-27,2020-06-27,5.3
2020-06-28,2020-06-28,5.0
2020-06-29,2020-06-29,6.0
2020-07-05,2020-07-05,5.004587155963303
2020-07-08,2020-07-08,5.217391304347826
2020-07-09,2020-07-09,4.75
2020-07-13,2020-07-13,2.25
2020-07-14,2020-07-14,6.0
2020-07-15,2020-07-15,6.090909090909091
2020-07-22,2020-07-22,5.183206106870229
2020-07-23,2020-07-23,5.087328767123288
2020-07-24,2020-07-24,4.77027027027027
2020-07-25,2020-07-25,4.576923076923077
2020-07-26,2020-07-26,4.8979591836734695
2020-07-27,2020-07-27,5.5
2020-07-28,2020-07-28,2.0
2020-08-05,2020-08-05,4.514285714285714
2020-08-07,2020-08-07,4.9655172413793105
2020-08-08,2020-08-08,5.06006006006006
2020-08-19,2020-08-19,5.400826446280992
2020-08-20,2020-08-20,5.250544662309368
2020-08-21,2020-08-21,4.860103626943006
2020-08-22,2020-08-22,5.204819277108434
2020-08-23,2020-08-23,6.25
2020-08-24,2020-08-24,6.0
2020-08-25,2020-08-25,5.0
2020-09-05,2020-09-05,3.857142857142857
2020-09-06,2020-09-06,4.8977272727272725
2020-09-07,2020-09-07,5.251386321626617
2020-09-08,2020-09-08,4.834951456310679
2020-09-18,2020-09-18,5.016949152542373
2020-09-19,2020-09-19,5.342723004694836
2020-09-20,2020-09-20,5.346153846153846
2020-09-21,2020-09-21,4.923809523809524
2020-09-22,2020-09-22,5.590909090909091
2020-09-23,2020-09-23,5.0625
2020-09-25,2020-09-25,5.03030303030303
2020-10-05,2020-10-05,4.0
2020-10-06,2020-10-06,5.2092426187419765
2020-10-07,2020-10-07,4.576271186440678
2020-10-08,2020-10-08,5.431372549019608
2020-11-05,2020-11-05,5.0
2020-11-06,2020-11-06,5.027027027027027
2020-11-07,2020-11-07,4.931034482758621
2020-11-08,2020-11-08,6.545454545454546
2020-12-06,2020-12-06,5.666666666666667
2020-12-07,2020-12-07,5.17948717948718
2020-12-08,2020-12-08,4.0
