date,date,happiness_rating
2020-01-11,2020-01-11,7.075
2020-02-09,2020-02-09,6.686015831134565
2020-02-10,2020-02-10,6.403726708074534
2020-02-11,2020-02-11,5.894736842105263
2020-03-09,2020-03-09,6.853403141361256
2020-03-10,2020-03-10,6.556818181818182
2020-03-11,2020-03-11,6.148148148148148
2020-04-09,2020-04-09,7.323404255319149
2020-04-10,2020-04-10,6.8585365853658535
2020-04-28,2020-04-28,6.958677685950414
2020-04-29,2020-04-29,6.939778129952456
2020-04-30,2020-04-30,6.785714285714286
2020-05-09,2020-05-09,6.7272727272727275
2020-05-10,2020-05-10,7.096256684491979
2020-05-13,2020-05-13,6.646687697160884
2020-05-14,2020-05-14,6.970457902511078
2020-05-15,2020-05-15,6.7272727272727275
2020-05-27,2020-05-27,6.718232044198895
2020-05-28,2020-05-28,6.882758620689655
2020-05-29,2020-05-29,7.075
2020-05-30,2020-05-30,7.462809917355372
2020-05-31,2020-05-31,8.0
2020-06-08,2020-06-08,6.940568475452197
2020-06-09,2020-06-09,8.0
2020-06-10,2020-06-10,7.209876543209877
2020-06-24,2020-06-24,6.943243243243243
2020-06-25,2020-06-25,6.787644787644788
2020-06-26,2020-06-26,6.962466487935657
2020-06-27,2020-06-27,6.6
2020-06-28,2020-06-28,7.5
2020-06-29,2020-06-29,8.0
2020-07-08,2020-07-08,6.846590909090909
2020-07-09,2020-07-09,6.25
2020-07-10,2020-07-10,7.351351351351352
2020-07-22,2020-07-22,6.939655172413793
2020-07-23,2020-07-23,7.007079646017699
2020-07-24,2020-07-24,7.09009009009009
2020-07-25,2020-07-25,7.352941176470588
2020-07-26,2020-07-26,7.0
2020-07-27,2020-07-27,8.0
2020-08-07,2020-08-07,6.705426356589148
2020-08-08,2020-08-08,7.2465753424657535
2020-08-09,2020-08-09,7.5
2020-08-10,2020-08-10,7.291139240506329
2020-08-14,2020-08-14,2.0
2020-08-17,2020-08-17,6.684210526315789
2020-08-19,2020-08-19,6.752043596730245
2020-08-20,2020-08-20,6.997389033942559
2020-08-21,2020-08-21,7.241379310344827
2020-08-22,2020-08-22,7.230769230769231
2020-08-23,2020-08-23,10.0
2020-08-24,2020-08-24,6.0
2020-08-25,2020-08-25,8.166666666666666
2020-09-06,2020-09-06,6.95483870967742
2020-09-07,2020-09-07,6.885474860335195
2020-09-08,2020-09-08,7.5
2020-09-10,2020-09-10,5.0
2020-09-18,2020-09-18,6.407035175879397
2020-09-19,2020-09-19,6.394557823129252
2020-09-20,2020-09-20,7.0
2020-09-21,2020-09-21,7.45679012345679
2020-09-22,2020-09-22,7.324074074074074
2020-09-23,2020-09-23,7.22360248447205
2020-09-24,2020-09-24,6.333333333333333
2020-09-25,2020-09-25,6.333333333333333
2020-09-26,2020-09-26,8.0
2020-09-27,2020-09-27,6.5
2020-10-06,2020-10-06,6.858381502890174
2020-10-07,2020-10-07,7.1375
2020-10-08,2020-10-08,8.5
2020-10-10,2020-10-10,9.333333333333334
2020-10-14,2020-10-14,6.522388059701493
2020-10-15,2020-10-15,6.176056338028169
2020-10-16,2020-10-16,6.836363636363636
2020-10-17,2020-10-17,7.065934065934066
2020-10-18,2020-10-18,7.2153846153846155
2020-10-19,2020-10-19,7.06508875739645
2020-10-20,2020-10-20,7.0
2020-10-28,2020-10-28,6.569767441860465
2020-10-29,2020-10-29,6.848214285714286
2020-10-30,2020-10-30,6.867768595041323
2020-10-31,2020-10-31,7.1063829787234045
2020-11-06,2020-11-06,6.5
2020-11-07,2020-11-07,7.176470588235294
2020-11-08,2020-11-08,8.666666666666666
2020-11-10,2020-11-10,5.0
2020-11-11,2020-11-11,6.473053892215569
2020-11-13,2020-11-13,7.070707070707071
2020-11-14,2020-11-14,7.084745762711864
2020-11-15,2020-11-15,7.524324324324325
2020-11-16,2020-11-16,7.293103448275862
2020-12-07,2020-12-07,7.428571428571429
2020-12-08,2020-12-08,8.0
2020-12-11,2020-12-11,6.787735849056604
