date,date,happiness_rating
2020-01-11,2020-01-11,6.745341614906832
2020-02-09,2020-02-09,6.787878787878788
2020-02-10,2020-02-10,6.938775510204081
2020-02-11,2020-02-11,6.9787234042553195
2020-03-09,2020-03-09,6.9213051823416505
2020-03-10,2020-03-10,6.939597315436242
2020-03-11,2020-03-11,6.654545454545454
2020-04-09,2020-04-09,7.021739130434782
2020-04-10,2020-04-10,6.568181818181818
2020-04-11,2020-04-11,7.126760563380282
2020-04-27,2020-04-27,6.774436090225564
2020-04-28,2020-04-28,6.765413533834587
2020-04-29,2020-04-29,6.396825396825397
2020-04-30,2020-04-30,4.2
2020-05-09,2020-05-09,5.75
2020-05-10,2020-05-10,6.626506024096385
2020-05-11,2020-05-11,7.0
2020-05-13,2020-05-13,6.786290322580645
2020-05-14,2020-05-14,6.871328671328671
2020-05-15,2020-05-15,6.743589743589744
2020-05-16,2020-05-16,8.0
2020-05-17,2020-05-17,4.0
2020-05-27,2020-05-27,6.693430656934306
2020-05-28,2020-05-28,6.864963503649635
2020-05-29,2020-05-29,6.882550335570469
2020-05-30,2020-05-30,6.799307958477509
2020-05-31,2020-05-31,7.5
2020-06-08,2020-06-08,6.862857142857143
2020-06-09,2020-06-09,6.5
2020-06-10,2020-06-10,6.602941176470588
2020-06-13,2020-06-13,0.0
2020-06-14,2020-06-14,9.0
2020-06-15,2020-06-15,3.0
2020-06-24,2020-06-24,6.944444444444445
2020-06-25,2020-06-25,6.872964169381108
2020-06-26,2020-06-26,6.940397350993377
2020-06-27,2020-06-27,7.5
2020-06-28,2020-06-28,8.0
2020-07-08,2020-07-08,7.007281553398058
2020-07-09,2020-07-09,6.0
2020-07-10,2020-07-10,7.211678832116788
2020-07-13,2020-07-13,6.5
2020-07-22,2020-07-22,6.62015503875969
2020-07-23,2020-07-23,7.061224489795919
2020-07-24,2020-07-24,6.913194444444445
2020-07-25,2020-07-25,6.683636363636364
2020-07-26,2020-07-26,7.222222222222222
2020-08-07,2020-08-07,7.029629629629629
2020-08-08,2020-08-08,6.975429975429975
2020-08-10,2020-08-10,7.0519480519480515
2020-08-19,2020-08-19,6.782608695652174
2020-08-20,2020-08-20,6.771764705882353
2020-08-21,2020-08-21,6.868811881188119
2020-08-22,2020-08-22,6.8125
2020-08-23,2020-08-23,7.0
2020-08-24,2020-08-24,9.0
2020-09-06,2020-09-06,7.043010752688172
2020-09-07,2020-09-07,6.882978723404255
2020-09-08,2020-09-08,7.416666666666667
2020-09-10,2020-09-10,6.4
2020-09-18,2020-09-18,7.066666666666666
2020-09-19,2020-09-19,6.961956521739131
2020-09-20,2020-09-20,6.752427184466019
2020-09-21,2020-09-21,6.725388601036269
2020-09-22,2020-09-22,6.958083832335329
2020-09-23,2020-09-23,7.095744680851064
2020-09-24,2020-09-24,5.0
2020-10-06,2020-10-06,6.732631578947369
2020-10-07,2020-10-07,6.9965753424657535
2020-10-08,2020-10-08,8.0
2020-10-14,2020-10-14,6.571428571428571
2020-10-15,2020-10-15,6.801418439716312
2020-10-16,2020-10-16,7.110236220472441
2020-10-17,2020-10-17,6.701863354037267
2020-10-18,2020-10-18,6.814655172413793
2020-10-19,2020-10-19,6.7073170731707314
2020-10-20,2020-10-20,7.046875
2020-10-21,2020-10-21,6.857142857142857
2020-10-22,2020-10-22,7.4
2020-10-28,2020-10-28,6.730769230769231
2020-10-29,2020-10-29,6.8768115942028984
2020-10-30,2020-10-30,6.573770491803279
2020-10-31,2020-10-31,6.7952755905511815
2020-11-06,2020-11-06,6.695783132530121
2020-11-07,2020-11-07,6.857638888888889
2020-11-08,2020-11-08,7.0
2020-11-11,2020-11-11,6.762430939226519
2020-11-13,2020-11-13,6.93956043956044
2020-11-14,2020-11-14,6.875647668393782
2020-11-15,2020-11-15,6.7967914438502675
2020-11-16,2020-11-16,6.926470588235294
2020-11-17,2020-11-17,6.0
2020-12-06,2020-12-06,6.866666666666666
2020-12-07,2020-12-07,7.5
2020-12-11,2020-12-11,6.773109243697479
