date,date,happiness_rating
2020-01-05,2020-01-05,7.0
2020-01-06,2020-01-06,4.0
2020-02-09,2020-02-09,6.516129032258065
2020-03-09,2020-03-09,6.333996023856859
2020-04-09,2020-04-09,6.203703703703703
2020-04-28,2020-04-28,6.100323624595469
2020-04-29,2020-04-29,6.043545878693624
2020-04-30,2020-04-30,5.648148148148148
2020-05-09,2020-05-09,5.97583081570997
2020-05-13,2020-05-13,6.114583333333333
2020-05-14,2020-05-14,5.993243243243243
2020-05-15,2020-05-15,6.44
2020-05-29,2020-05-29,6.01593625498008
2020-05-30,2020-05-30,6.013412816691505
2020-05-31,2020-05-31,5.791208791208791
2020-06-08,2020-06-08,6.382716049382716
2020-06-09,2020-06-09,5.6923076923076925
2020-06-24,2020-06-24,5.840909090909091
2020-06-25,2020-06-25,6.310513447432763
2020-06-26,2020-06-26,6.022421524663677
2020-06-27,2020-06-27,5.92
2020-06-28,2020-06-28,5.75
2020-06-29,2020-06-29,4.0
2020-07-08,2020-07-08,6.219072164948454
2020-07-09,2020-07-09,6.0
2020-07-13,2020-07-13,5.75
2020-07-22,2020-07-22,5.5
2020-07-23,2020-07-23,6.194711538461538
2020-07-24,2020-07-24,6.026785714285714
2020-07-25,2020-07-25,5.968965517241379
2020-07-26,2020-07-26,6.033333333333333
2020-07-27,2020-07-27,7.0
2020-08-07,2020-08-07,6.078431372549019
2020-08-08,2020-08-08,6.179372197309417
2020-08-20,2020-08-20,6.030188679245283
2020-08-21,2020-08-21,6.109062980030722
2020-08-22,2020-08-22,5.6938775510204085
2020-08-23,2020-08-23,5.0
2020-08-24,2020-08-24,5.5
2020-09-06,2020-09-06,6.180124223602484
2020-09-07,2020-09-07,6.206611570247934
2020-09-08,2020-09-08,6.0
2020-09-18,2020-09-18,6.288461538461538
2020-09-19,2020-09-19,5.981012658227848
2020-09-20,2020-09-20,6.103286384976526
2020-09-21,2020-09-21,6.486238532110092
2020-09-22,2020-09-22,6.0606060606060606
2020-09-23,2020-09-23,6.401785714285714
2020-09-24,2020-09-24,6.116279069767442
2020-10-06,2020-10-06,6.18455497382199
2020-10-07,2020-10-07,6.162698412698413
2020-10-08,2020-10-08,6.0
2020-11-06,2020-11-06,5.966666666666667
2020-11-07,2020-11-07,6.065359477124183
2020-12-07,2020-12-07,6.393939393939394
