date,date,happiness_rating
2020-01-06,2020-01-06,7.166666666666667
2020-01-08,2020-01-08,7.0
2020-02-06,2020-02-06,7.5
2020-02-09,2020-02-09,6.606936416184971
2020-03-06,2020-03-06,6.454545454545454
2020-03-08,2020-03-08,8.0
2020-03-09,2020-03-09,6.925764192139738
2020-04-09,2020-04-09,7.038759689922481
2020-04-27,2020-04-27,6.873873873873874
2020-04-28,2020-04-28,6.669829222011385
2020-04-29,2020-04-29,6.777777777777778
2020-04-30,2020-04-30,6.777777777777778
2020-05-09,2020-05-09,6.9822695035460995
2020-05-13,2020-05-13,6.961038961038961
2020-05-14,2020-05-14,6.686728395061729
2020-05-15,2020-05-15,6.7592592592592595
2020-05-16,2020-05-16,7.166666666666667
2020-05-17,2020-05-17,5.0
2020-05-19,2020-05-19,8.25
2020-05-27,2020-05-27,6.882716049382716
2020-05-28,2020-05-28,6.825242718446602
2020-05-29,2020-05-29,6.845041322314049
2020-05-30,2020-05-30,6.4743589743589745
2020-05-31,2020-05-31,6.823529411764706
2020-06-08,2020-06-08,7.003571428571429
2020-06-09,2020-06-09,6.819672131147541
2020-06-13,2020-06-13,7.666666666666667
2020-06-24,2020-06-24,7.1066666666666665
2020-06-25,2020-06-25,6.879895561357702
2020-06-26,2020-06-26,6.631205673758865
2020-06-27,2020-06-27,7.2272727272727275
2020-07-08,2020-07-08,6.822784810126582
2020-07-09,2020-07-09,6.333333333333333
2020-07-13,2020-07-13,7.2
2020-07-14,2020-07-14,6.75
2020-07-15,2020-07-15,6.5
2020-07-16,2020-07-16,10.0
2020-07-22,2020-07-22,7.037735849056604
2020-07-23,2020-07-23,6.934523809523809
2020-07-24,2020-07-24,6.947867298578199
2020-07-25,2020-07-25,6.832191780821918
2020-07-26,2020-07-26,6.982456140350878
2020-07-27,2020-07-27,7.0
2020-07-29,2020-07-29,8.0
2020-07-30,2020-07-30,6.0
2020-07-31,2020-07-31,5.0
2020-08-07,2020-08-07,7.161904761904762
2020-08-08,2020-08-08,6.810344827586207
2020-08-09,2020-08-09,8.0
2020-08-20,2020-08-20,7.054216867469879
2020-08-21,2020-08-21,6.918767507002801
2020-08-22,2020-08-22,6.855172413793103
2020-08-23,2020-08-23,5.0
2020-08-24,2020-08-24,4.0
2020-09-06,2020-09-06,6.692607003891051
2020-09-07,2020-09-07,6.717601547388782
2020-09-08,2020-09-08,7.0
2020-09-09,2020-09-09,5.0
2020-09-18,2020-09-18,6.490566037735849
2020-09-19,2020-09-19,6.8563829787234045
2020-09-20,2020-09-20,6.7518518518518515
2020-09-21,2020-09-21,6.885117493472585
2020-09-22,2020-09-22,6.840579710144928
2020-09-23,2020-09-23,6.615384615384615
2020-09-24,2020-09-24,6.708333333333333
2020-09-25,2020-09-25,6.0
2020-09-26,2020-09-26,10.0
2020-10-06,2020-10-06,6.657692307692308
2020-10-07,2020-10-07,6.724137931034483
2020-10-08,2020-10-08,7.0
2020-11-06,2020-11-06,7.050264550264551
2020-11-07,2020-11-07,7.080459770114943
2020-11-08,2020-11-08,7.0
2020-12-06,2020-12-06,6.394230769230769
2020-12-07,2020-12-07,6.7894736842105265
