date,date,happiness_rating
2020-01-05,2020-01-05,6.56
2020-01-06,2020-01-06,4.0
2020-01-07,2020-01-07,5.5
2020-01-08,2020-01-08,4.666666666666667
2020-02-05,2020-02-05,5.615384615384615
2020-02-06,2020-02-06,3.0
2020-02-07,2020-02-07,6.6
2020-02-08,2020-02-08,7.0
2020-02-09,2020-02-09,5.966666666666667
2020-03-05,2020-03-05,6.3
2020-03-06,2020-03-06,6.465753424657534
2020-03-07,2020-03-07,5.397590361445783
2020-03-08,2020-03-08,6.015625
2020-03-09,2020-03-09,6.032154340836013
2020-04-05,2020-04-05,7.0
2020-04-06,2020-04-06,6.0
2020-04-07,2020-04-07,7.285714285714286
2020-04-08,2020-04-08,5.909090909090909
2020-04-09,2020-04-09,5.859223300970874
2020-04-28,2020-04-28,6.505836575875486
2020-04-29,2020-04-29,6.283950617283951
2020-04-30,2020-04-30,6.111111111111111
2020-05-05,2020-05-05,5.0
2020-05-07,2020-05-07,5.8
2020-05-09,2020-05-09,5.7254901960784315
2020-05-13,2020-05-13,8.0
2020-05-14,2020-05-14,6.328947368421052
2020-05-15,2020-05-15,6.135306553911205
2020-05-16,2020-05-16,6.08
2020-05-17,2020-05-17,6.543859649122807
2020-05-18,2020-05-18,6.392857142857143
2020-05-19,2020-05-19,6.527777777777778
2020-05-20,2020-05-20,7.0
2020-05-21,2020-05-21,6.75
2020-05-27,2020-05-27,6.113475177304965
2020-05-28,2020-05-28,6.264197530864197
2020-05-29,2020-05-29,6.127218934911243
2020-05-30,2020-05-30,6.923076923076923
2020-05-31,2020-05-31,7.875
2020-06-05,2020-06-05,5.666666666666667
2020-06-07,2020-06-07,3.6666666666666665
2020-06-08,2020-06-08,6.324324324324325
2020-06-09,2020-06-09,6.230769230769231
2020-06-13,2020-06-13,7.666666666666667
2020-06-14,2020-06-14,5.857142857142857
2020-06-15,2020-06-15,3.0
2020-06-16,2020-06-16,7.666666666666667
2020-06-17,2020-06-17,6.5
2020-06-18,2020-06-18,6.833333333333333
2020-06-19,2020-06-19,6.178571428571429
2020-06-20,2020-06-20,6.25
2020-06-21,2020-06-21,8.75
2020-06-24,2020-06-24,6.192771084337349
2020-06-25,2020-06-25,6.2493438320209975
2020-06-26,2020-06-26,6.430493273542601
2020-06-27,2020-06-27,6.181818181818182
2020-06-28,2020-06-28,6.032258064516129
2020-06-29,2020-06-29,6.076923076923077
2020-06-30,2020-06-30,5.777777777777778
2020-07-05,2020-07-05,7.333333333333333
2020-07-07,2020-07-07,6.595238095238095
2020-07-08,2020-07-08,6.209302325581396
2020-07-09,2020-07-09,5.7272727272727275
2020-07-13,2020-07-13,5.909090909090909
2020-07-14,2020-07-14,6.6923076923076925
2020-07-15,2020-07-15,6.625
2020-07-16,2020-07-16,6.833333333333333
2020-07-17,2020-07-17,2.0
2020-07-18,2020-07-18,7.5
2020-07-19,2020-07-19,5.0
2020-07-20,2020-07-20,6.306930693069307
2020-07-21,2020-07-21,6.066666666666666
2020-07-22,2020-07-22,6.198630136986301
2020-07-23,2020-07-23,6.297157622739018
2020-07-24,2020-07-24,5.954545454545454
2020-07-25,2020-07-25,6.472
2020-07-26,2020-07-26,5.333333333333333
2020-07-27,2020-07-27,6.863636363636363
2020-07-28,2020-07-28,6.333333333333333
2020-07-29,2020-07-29,5.6923076923076925
2020-07-30,2020-07-30,6.333333333333333
2020-07-31,2020-07-31,4.666666666666667
2020-08-05,2020-08-05,5.142857142857143
2020-08-07,2020-08-07,6.148514851485149
2020-08-08,2020-08-08,5.546153846153846
2020-08-09,2020-08-09,10.0
2020-08-13,2020-08-13,6.0
2020-08-14,2020-08-14,5.857142857142857
2020-08-15,2020-08-15,5.0
2020-08-16,2020-08-16,8.25
2020-08-17,2020-08-17,6.234567901234568
2020-08-18,2020-08-18,3.0
2020-08-19,2020-08-19,6.08
2020-08-20,2020-08-20,6.086363636363636
2020-08-21,2020-08-21,5.925925925925926
2020-08-22,2020-08-22,5.644444444444445
2020-08-23,2020-08-23,6.666666666666667
2020-08-24,2020-08-24,4.777777777777778
2020-08-25,2020-08-25,7.25
2020-08-26,2020-08-26,6.092105263157895
2020-08-27,2020-08-27,5.545454545454546
2020-09-05,2020-09-05,6.181818181818182
2020-09-06,2020-09-06,6.316831683168317
2020-09-07,2020-09-07,6.175226586102719
2020-09-08,2020-09-08,6.280898876404494
2020-09-18,2020-09-18,6.194915254237288
2020-09-19,2020-09-19,6.146245059288537
2020-09-20,2020-09-20,6.156626506024097
2020-09-21,2020-09-21,6.8125
2020-09-22,2020-09-22,5.172413793103448
2020-09-23,2020-09-23,6.119047619047619
2020-09-24,2020-09-24,6.525
2020-09-25,2020-09-25,6.75
2020-09-26,2020-09-26,5.0
2020-09-27,2020-09-27,6.333333333333333
2020-09-28,2020-09-28,5.979591836734694
2020-09-29,2020-09-29,6.2
2020-09-30,2020-09-30,7.0
2020-10-05,2020-10-05,6.833333333333333
2020-10-06,2020-10-06,6.410344827586207
2020-10-07,2020-10-07,6.220779220779221
2020-10-08,2020-10-08,6.672131147540983
2020-11-05,2020-11-05,5.166666666666667
2020-11-06,2020-11-06,5.736111111111111
2020-11-07,2020-11-07,6.151260504201681
2020-11-08,2020-11-08,6.1
2020-12-05,2020-12-05,6.0
2020-12-06,2020-12-06,6.315789473684211
2020-12-07,2020-12-07,6.151162790697675
2020-12-08,2020-12-08,6.8
