date,date,happiness_rating
2020-01-05,2020-01-05,6.296428571428572
2020-01-06,2020-01-06,6.0
2020-01-07,2020-01-07,6.461538461538462
2020-02-05,2020-02-05,6.404761904761905
2020-02-06,2020-02-06,5.8
2020-02-07,2020-02-07,5.5
2020-02-08,2020-02-08,6.333333333333333
2020-02-09,2020-02-09,6.517985611510792
2020-03-05,2020-03-05,6.192982456140351
2020-03-06,2020-03-06,6.584905660377358
2020-03-07,2020-03-07,5.698412698412699
2020-03-08,2020-03-08,6.109375
2020-03-09,2020-03-09,5.995951417004049
2020-04-05,2020-04-05,5.5
2020-04-07,2020-04-07,5.0
2020-04-09,2020-04-09,6.220588235294118
2020-04-30,2020-04-30,6.8828125
2020-05-05,2020-05-05,6.252747252747253
2020-05-07,2020-05-07,9.0
2020-05-09,2020-05-09,6.054166666666666
2020-05-13,2020-05-13,7.285714285714286
2020-05-14,2020-05-14,6.411764705882353
2020-05-15,2020-05-15,6.395437262357414
2020-05-16,2020-05-16,6.434659090909091
2020-05-17,2020-05-17,6.2094017094017095
2020-05-18,2020-05-18,5.366666666666666
2020-05-19,2020-05-19,6.031746031746032
2020-05-20,2020-05-20,6.0
2020-05-27,2020-05-27,6.293577981651376
2020-05-28,2020-05-28,6.136150234741784
2020-05-29,2020-05-29,6.410138248847926
2020-05-30,2020-05-30,6.244525547445256
2020-05-31,2020-05-31,5.81
2020-06-05,2020-06-05,5.779411764705882
2020-06-08,2020-06-08,6.654028436018957
2020-06-09,2020-06-09,6.286885245901639
2020-06-13,2020-06-13,5.560975609756097
2020-06-14,2020-06-14,5.148148148148148
2020-06-15,2020-06-15,5.0
2020-06-16,2020-06-16,0.0
2020-06-17,2020-06-17,4.0
2020-06-24,2020-06-24,6.5256410256410255
2020-06-25,2020-06-25,6.428571428571429
2020-06-26,2020-06-26,6.4789915966386555
2020-06-27,2020-06-27,6.4222222222222225
2020-06-28,2020-06-28,6.090909090909091
2020-06-29,2020-06-29,5.52542372881356
2020-06-30,2020-06-30,5.3
2020-07-05,2020-07-05,5.851063829787234
2020-07-08,2020-07-08,6.152892561983471
2020-07-09,2020-07-09,5.666666666666667
2020-07-13,2020-07-13,7.666666666666667
2020-07-14,2020-07-14,7.2
2020-07-15,2020-07-15,6.08
2020-07-22,2020-07-22,6.5
2020-07-23,2020-07-23,6.332103321033211
2020-07-24,2020-07-24,5.952830188679245
2020-07-25,2020-07-25,6.257777777777778
2020-07-26,2020-07-26,6.105769230769231
2020-07-27,2020-07-27,5.8
2020-07-28,2020-07-28,6.375
2020-07-29,2020-07-29,6.666666666666667
2020-07-30,2020-07-30,7.666666666666667
2020-07-31,2020-07-31,4.0
2020-08-05,2020-08-05,6.797250859106529
2020-08-07,2020-08-07,6.717391304347826
2020-08-08,2020-08-08,6.279891304347826
2020-08-20,2020-08-20,6.2020725388601035
2020-08-21,2020-08-21,5.84731182795699
2020-08-22,2020-08-22,6.014925373134329
2020-08-23,2020-08-23,4.642857142857143
2020-08-24,2020-08-24,10.0
2020-09-05,2020-09-05,6.223300970873787
2020-09-06,2020-09-06,6.493333333333333
2020-09-07,2020-09-07,6.479099678456592
2020-09-08,2020-09-08,6.75
2020-09-16,2020-09-16,6.532467532467533
2020-09-17,2020-09-17,5.860869565217391
2020-09-18,2020-09-18,6.190283400809717
2020-09-19,2020-09-19,6.191964285714286
2020-09-20,2020-09-20,6.041666666666667
2020-09-21,2020-09-21,5.5
2020-09-22,2020-09-22,5.8
2020-09-23,2020-09-23,9.75
2020-09-24,2020-09-24,6.714285714285714
2020-09-25,2020-09-25,3.6666666666666665
2020-09-26,2020-09-26,4.857142857142857
2020-09-27,2020-09-27,7.0
2020-09-28,2020-09-28,6.455555555555556
2020-09-29,2020-09-29,6.0
2020-09-30,2020-09-30,4.0
2020-10-05,2020-10-05,6.12280701754386
2020-10-06,2020-10-06,6.339506172839506
2020-10-07,2020-10-07,6.200854700854701
2020-10-08,2020-10-08,9.0
2020-11-05,2020-11-05,6.214285714285714
2020-11-06,2020-11-06,6.139130434782609
2020-11-07,2020-11-07,6.041095890410959
2020-12-05,2020-12-05,6.031578947368421
2020-12-06,2020-12-06,6.0495049504950495
2020-12-07,2020-12-07,5.912280701754386
